Group.1	1-Abd	1-FH	1-UB	1-AC	2-AC	2-FH	2-PC	2-UB	3-AC	3-Abd	3-FH	3-PC	3-UB	4-AC	4-FA	4-FH	4-PC	4-UB	5-AC	5-FA	5-FH	5-PC	5-UB	6-AC	6-FH	6-PC	6-UB	7-FA	7-FH	7-PC	7-UB	8-AC	8-Abd	8-FA	8-FH	8-PC	8-UB	9-AC	9-FH	9-PC	10-Abd	10-FA	10-FH	10-UB	11-AC	11-FA	11-FH	11-PC	11-UB
Acinetobacter sp. BMW17	2.5	1.5	0	3	440	1	22	3	215	43	3	93	2	180	183	3	33	3	16	20	1	54	0	62	3	30	0	832	18	1102	9	167	442	338	986	280	917	6	301	11	402	240	83	200	2	17	0	34	3
Corynebacterium glucuronolyticum	13.5	16.5	6	10	5	7	223	15	240	29	0	147	0	45	88	36	15	1	319	525	3	184	0	24	6	34	0	43	3	183	1	26	32	23	2	338	43	767	1	7428	29489	1113	389	672	0	5	0	15	0
Corynebacterium lipophiloflavum	5.5	7.5	2.5	13	454	6	17	36	49	156	2	516	1	155	130	6	55	1	2693	5340	43	3239	65	2123	225	2046	27	125	0	135	5	23	47	60	17	115	94	464	140	1719	96	36	13	13	1	9	0	16	0
Mycobacterium chelonae	1	1.5	0.5	12	96	3	59	13	2587	47	3	98	0	10222	32314	22	105	6	200	490	2	141	0	79	18	198	3	119	2	136	4	8	16	30	25	54	42	127	700	3652	25	27	10	11	3	42	0	27	4
Staphylococcus equorum	2.5	45.5	0.5	7	102	3	3	13	525	36	4	32	0	1802	3647	30	140	9	42	25	1	83	1	96	5	23	0	246	9	260	4	135	270	479	116	380	407	38	354	187	199	246	2	7	0	5	0	5	2
Anaerococcus provenciensis	14.5	46	1.5	17	6	1	145	6	32	31	0	205	2	163	206	2	30	2	62	71	1	376	2	25	5	69	0	315	23	1072	5	36	201	157	13	4749	122	20	16	169	286	13	20	28	0	0	0	35	0
Prevotella buccalis	19.5	12.5	2	10	174	8	3509	13	41	66	2	161	3	159	338	4	110	11	21	51	0	295	6	44	6	123	0	241	14	1583	5	139	605	466	153	8907	371	56	2176	213	445	6	4	11	1	19	8	896	3
Staphylococcus lugdunensis	0	3.5	0.5	4	42	12	352	17	0	845	9	3488	5	415	311	23	103	5	34	33	1	1001	1	272	18	910	4	149	19	104	2	70	128	186	417	207	240	4	229	43	72	17	30	16	9	54	4	26	1
Psychrobacter alimentarius	3	2.5	4	14	0	0	0	7	385	5	1	4	0	1873	6562	54	296	26	291	643	33	1884	61	44	1	37	0	1484	58	1161	13	148	419	543	104	661	588	8	0	9	22	13	23	6	0	4	1	8	1
Aerococcus viridans	3	4	1.5	2	113	17	1	29	1556	12	0	33	1	6432	3778	66	963	101	85	59	4	197	5	116	15	80	0	249	5	29	5	522	582	1389	225	883	1373	6	211	13	112	57	3	1	0	7	0	14	0
Peptoniphilus grossensis	12.5	11.5	2	6	15	13	1440	10	122	20	0	43	0	170	403	5	57	1	88	217	1	819	6	2	2	52	0	82	3	343	0	160	780	651	78	16187	457	62	188	169	3	0	2	2	4	41	4	1241	15
Porphyromonas bennonis	24.5	4	1.5	7	67	1	1839	14	87	69	2	103	1	245	633	4	144	15	2	16	1	87	0	72	9	153	2	32	0	70	0	214	864	634	63	29919	472	6	175	41	87	30	1	1	3	10	0	229	1
Psychrobacter sp. TB15	478.5	55	511.5	734	193	0	40	20	987	4	0	75	0	3805	1302	11	148	3	166	577	2	1665	14	31	11	51	0	312	9	31	4	113	189	230	49	159	269	0	1	13	36	4	3	0	0	10	0	0	0
Peptoniphilus harei	83.5	57.5	3.5	27	679	6	1726	12	81	30	0	52	0	1315	627	9	97	3	7	19	0	93	0	1	1	6	0	239	6	982	4	90	354	403	45	6868	235	14	0	16	258	64	6	8	0	11	1	79	1
Streptococcus intermedius	1	17	0	0	160	7	7	342	0	29	0	29	0	83	53	7	4	0	996	1629	47	474	78	45	14	19	0	49	8	6	0	3	23	22	6	187	13	223	0	3	10	47	36	6	0	11	0	154	0
Prevotella corporis	17	4.5	1	7	125	6	7698	30	131	30	0	118	0	239	237	15	323	17	269	561	4	2977	9	0	0	72	0	70	1	153	0	73	266	264	37	3866	159	52	238	7	0	0	5	0	6	76	1	1926	19
Staphylococcus pettenkoferi	0.5	4.5	0.5	27	99	19	2	38	6	2242	26	24149	39	62	27	3	7	0	8	19	12	155	1	11	73	28	2	19	1	5	1	0	15	5	16	12	9	55	0	18	115	227	6	8	0	3	3	2	3
Levyella massiliensis	9.5	1.5	3	4	1096	11	6634	17	1	18	0	62	0	220	532	6	93	14	9	1	0	2	0	79	10	137	2	234	1	1469	2	146	765	878	53	20325	451	118	0	556	18	16	6	3	1	86	0	644	21
Lactobacillus jensenii	12	13	0	4	481	17	1527	11	35	26	0	1	0	106	185	5	79	2	4	8	0	31	0	49	0	16	1	726	11	3416	16	52	328	298	58	3683	202	18	0	12	1	0	1	2	0	5	0	50	0
Anaerococcus obesiensis	16	16.5	0.5	8	78	0	728	6	4	8	1	102	0	187	283	3	88	7	2	9	0	92	0	20	1	17	0	3	0	16	2	96	295	346	19	9306	220	24	0	91	180	12	10	7	1	23	0	411	4
Acinetobacter lwoffii	0	0	0	2	38	0	0	5	1	95	2	237	4	29	42	0	12	1	7	7	0	9	0	9	1	14	0	221	7	357	8	18	104	98	279	52	153	6	67	11	237	111	12	52	2	13	0	4	1
Varibaculum sp. Marseille-P2802	1.5	3	0.5	1	46	0	739	6	0	47	0	252	0	44	94	4	10	3	33	75	1	170	0	0	0	3	0	24	0	87	3	87	365	271	26	4133	115	100	0	109	0	51	3	8	1	13	7	375	7
