Group.1	1-Abd	1-FH	1-UB	1-AC	2-AC	2-FH	2-PC	2-UB	3-AC	3-Abd	3-FH	3-PC	3-UB	4-AC	4-FA	4-FH	4-PC	4-UB	5-AC	5-FA	5-FH	5-PC	5-UB	6-AC	6-FH	6-PC	6-UB	7-FA	7-FH	7-PC	7-UB	8-AC	8-Abd	8-FA	8-FH	8-PC	8-UB	9-AC	9-FH	9-PC	10-Abd	10-FA	10-FH	10-UB	11-AC	11-FA	11-FH	11-PC	11-UB
Streptococcus oralis	13.5	58.5	1.5	35	1092	151	50	753	1887	177	6	163	2	4025	4094	4215	546	29	1555	12174	102	631	108	723	289	428	7	2681	206	1103	49	168	647	951	567	389	529	618	6	162	406	126	32	19	9	139	7	47	4
Xanthomonas campestris	0	11	8	47	1328	555	112	2429	1056	135	30	241	0	815	1227	81	142	26	1982	271941	145	822	79	212	49	94	1	1005	35	498	28	280	463	992	166	870	410	86	2475	115	1503	474	6	28	5	183	6	79	9
Paracoccus sp. 228	4.5	31	15.5	144	1730	7	83	72	2536	842	7	999	13	7539	1841	31	351	11	1770	3102	124	6169	90	507	32	308	5	258	5	730	5	144	2216	573	155	895	415	156	2625	158	420	987	21	51	13	546	2	199	23
Finegoldia magna	161.5	146	11.5	61	296	10	3580	23	510	186	6	610	9	2215	1761	33	342	18	210	478	5	1559	6	47	14	147	0	536	17	1965	9	455	2521	2214	291	35179	1406	394	183	799	6110	354	74	100	9	142	5	3236	46
Veillonella parvula	9	28.5	3	16	1334	83	84	1375	1009	284	10	251	1	461	458	128	102	5	3238	9375	135	1213	209	595	516	350	11	1051	74	687	22	43	143	169	97	198	176	1249	159	168	219	188	73	23	1	104	12	67	11
Corynebacterium minutissimum	31.5	44	8	89	1047	41	245	178	28	26532	279	103369	245	363	551	7	91	12	556	799	43	1827	7	7147	810	16137	80	379	19	1202	3	47	157	179	22	1887	153	7712	463	12239	673	125	28	45	0	57	12	213	5
Haemophilus parainfluenzae	19	32	8.5	37	638	159	55	428	1857	628	37	992	43	645	721	139	105	2	479	1559	12	1797	19	2770	1183	1800	28	1548	134	472	29	62	234	293	213	258	335	2130	814	183	122	115	32	36	21	545	30	66	17
Janibacter hoylei	6.5	5.5	8	12	529	2	64	60	91	102	3	286	1	884	801	6	185	5	20752	30929	269	63550	396	427	39	263	3	556	1	796	8	112	234	265	15	295	489	41	2407	117	5864	1154	184	332	18	374	6	270	42
Stenotrophomonas maltophilia	7	7	6.5	21	8782	21	1546	174	602	2852	124	3410	31	1656	2634	27	195	11	190	432	2	494	7	2771	102	1193	18	1847	22	905	58	318	577	749	291	1470	641	34	2791	99	630	10178	16	27	8	49	1	75	48
Brevundimonas nasdae	3	6.5	8.5	29	16366	45	19040	789	1575	800	1	2731	5	7460	3361	41	961	98	510	740	22	1512	19	55	2	73	3	373	7	246	18	289	443	658	54	522	768	34	634	745	385	230	56	126	5	200	0	129	16
Corynebacterium ureicelerivorans	124	100.5	90.5	535	103	7	69	85	53	1548	15	6451	14	621	512	70	149	15	20380	118897	185	7972	401	675	28	359	2	402	7	900	22	57	98	170	29	662	140	3331	122	3674	1353	1327	38	264	3	226	9	133	21
Corynebacterium genitalium	27	17.5	23	68	8	5	10	27	237	1447	22	8530	32	1884	3276	144	3065	435	215	423	10	298	3	341	28	707	5	83	2	546	6	730	694	2946	104	1136	1277	532	195	697	16591	345	193	418	1	48	1	25	8
Porphyromonas somerae	110	52	70.5	189	4621	176	327	501	9866	1703	29	2426	3	879	946	111	167	13	1874	118	2	351	8	1781	390	633	7	2614	90	2147	40	67	191	215	134	158	264	1303	177	35	107	27	4	2	4	74	14	55	11
Corynebacterium jeikeium	150	101.5	22.5	196	216	21	73	68	6	4540	102	13709	71	271	397	12	96	2	432	892	456	1923	5	1314	119	2178	17	7168	100	34883	200	56	137	178	36	598	114	4032	231	6523	512	65	174	53	2	22	6	118	209
Streptococcus thermophilus	26	111	15.5	99	209	17	38	43	803	60	9	187	2	1039	1039	99	229	1	446	859	14	1315	9	499	186	464	12	1226	81	907	24	366	4864	3323	4897	865	1475	160	2633	182	154	240	42	27	0	28	2	5	1
Actinomyces odontolyticus	5.5	35.5	19	52	2190	134	44	1202	2568	374	7	328	0	1726	1635	1480	175	11	237	286	15	106	4	549	193	184	0	724	27	64	12	66	281	244	95	130	212	2455	748	182	106	64	25	18	1	142	13	14	5
Paracoccus sphaerophysae	43.5	27.5	12.5	31	309	7	62	48	483	313	8	425	13	396	237	18	115	7	1355	1420	16	2983	39	386	26	220	1	107	7	169	18	58	109	95	44	116	251	25	810	943	4899	1228	326	847	37	889	7	513	87
Streptococcus sanguinis	13	39	2.5	19	1295	167	72	1766	579	145	8	95	1	525	444	210	63	12	1120	9476	51	590	79	1904	981	1183	28	1331	108	333	34	55	340	276	375	134	213	775	104	104	0	119	38	21	1	64	3	23	3
Sphingomonas sp. Ag1	6.5	5.5	4.5	30	2582	10	191	119	2464	328	2	870	1	7042	3538	70	1096	123	378	269	4	523	4	286	19	151	0	334	4	427	7	1023	2905	2812	187	1979	3820	98	717	997	423	782	32	93	5	43	4	60	2
Staphylococcus haemolyticus	8	27.5	12.5	45	298	34	94	75	102	1970	55	9178	40	892	429	21	98	6	321	279	9	2147	10	1028	170	2198	4	261	16	354	13	63	128	169	66	3465	229	1579	38	2011	3130	489	160	152	2	28	0	171	8
Kocuria rhizophila	4	2.5	9	17	1176	14	51	27	363	120	1	239	0	744	667	26	171	10	12123	19145	3320	14925	403	1771	145	912	12	102	6	16	9	102	167	178	17	224	364	304	260	547	5696	2703	263	703	0	26	1	55	10
Brevibacterium casei	8.5	8.5	7	18	901	72	68	771	2861	62	0	118	1	12000	5675	207	2356	86	1341	2482	114	3045	55	1012	44	366	5	1755	7	6467	38	2290	1769	4612	273	2749	2643	2048	71	7236	384	551	20	25	20	509	5	232	29
Streptococcus infantis	7.5	61.5	0.5	31	282	81	34	160	660	375	6	269	0	846	669	546	115	5	743	964	20	194	8	363	157	269	3	1266	89	402	27	76	387	300	382	286	370	719	188	76	87	75	17	31	2	54	1	14	3
Staphylococcus saprophyticus	1.5	19	1	24	317	61	10	67	1822	95	3	397	1	9491	5083	102	1238	108	486	1162	133	1188	34	682	84	898	6	348	28	208	15	480	312	923	359	933	1610	779	1187	1779	74	114	26	21	5	49	4	52	4
Kocuria kristinae	144	127	1446.5	17	903	16	7	37	101	223	2	196	6	875	854	54	112	60	109	191	5	189	4	282	79	157	62	200	16	31	8	100	276	565	125	257	418	1616	234	2126	109	53	10	8	1	9	3	0	18
Morococcus cerebrosus	14.5	7.5	12	39	873	62	21	464	607	160	5	189	1	553	436	200	38	4	1021	1131	9	121	7	835	386	418	14	724	38	367	14	80	488	542	493	115	328	99	2	54	77	35	3	5	0	32	1	5	0
Varibaculum cambriense	151.5	146	13.5	84	116	6	4188	14	208	92	0	157	0	1598	1930	32	282	44	207	473	4	1105	1	80	4	95	1	292	8	2551	11	643	3035	2818	353	48824	1720	201	0	504	157	19	8	2	6	243	6	4945	65
Pseudomonas oryzihabitans	5	10	4	8	739	7	56	133	766	10626	45	54421	150	1204	780	10	71	4	315	477	4	695	10	415	94	239	1	583	9	255	24	39	71	104	60	64	129	13	2054	85	496	568	17	160	3	63	4	65	7
Acinetobacter johnsonii	3	9	6	20	809	5	498	36	184	992	2	1915	14	445	494	11	66	8	59	117	2	208	3	231	26	188	8	1152	42	1042	20	226	582	488	1040	448	913	36	863	95	475	363	78	174	7	72	5	73	11
Staphylococcus warneri	21.5	44	6.5	33	572	72	22	61	141	1406	49	3946	44	716	438	10	1016	2	951	1194	25	26293	42	127	69	334	4	334	14	249	4	24	58	85	38	126	370	119	155	161	191	193	35	29	2	111	8	66	9
Corynebacterium jeddahense	9.5	5.5	7	56	503	10	29	35	441	1367	15	5930	7	497	442	55	178	16	116787	229495	146	49088	468	19684	969	8488	148	613	21	1655	20	55	73	185	21	1228	188	2661	324	2607	1392	75	24	45	0	10	0	27	0
Lautropia mirabilis	2.5	7	1.5	4	2953	317	102	3554	1322	55	6	58	0	546	1116	385	69	9	318	3742	20	251	15	1281	1172	821	13	2193	170	674	78	70	252	319	505	127	231	62	1	21	124	38	2	18	2	78	0	4	2
Prevotella melaninogenica	7	19.5	1	21	580	185	109	880	234	76	1	305	1	304	476	23	57	2	306	558	14	202	7	237	535	228	5	335	21	264	7	22	70	105	56	197	121	1840	182	56	120	268	17	49	0	28	2	41	6
Pseudomonas luteola	2	3	4	7	218	7	39	43	774	3748	8	5259	1165	1132	854	15	283	55	255	86	1	155	1	764	87	924	7	402	3	63	0	105	244	367	156	184	433	3308	384	9031	0	134	14	109	2	71	1	79	7
Kocuria salsicia	2.5	265.5	43.5	22	186	29	63	39	7	105	3	49	1	260	223	13	50	6	2078	3521	536	2254	72	654	103	491	10	36	1	143	5	43	38	42	18	220	67	94	335	158	832	409	881	2132	55	609	2971	96	1454
Corynebacterium durum	13	31.5	5	38	501	71	15	334	788	69	2	139	0	2059	3119	908	229	88	966	3150	38	214	34	115	14	158	2	1027	48	216	42	261	521	1024	285	245	776	67	399	113	13	62	17	29	1	84	4	8	2
Paracoccus sanguinis	8	19	9	22	460	17	32	41	684	249	3	149	7	387	275	11	199	5	12834	13354	53	22424	254	439	25	379	5	183	9	103	25	52	151	153	38	101	229	17	540	704	2647	1492	70	257	4	139	4	90	16
Corynebacterium singulare	14	19.5	3.5	85	481	22	112	100	338	3799	64	14078	52	141	181	9	59	2	333	597	187	530	10	1422	117	3234	11	133	9	771	5	25	64	77	7	721	71	4938	507	7855	1509	47	31	34	2	31	2	125	7
Dietzia maris	41	32	56.5	484	143	12	60	28	939	57	4	267	5	2358	1082	26	280	22	454	783	9	667	12	2136	322	1341	16	99	9	60	11	157	234	345	46	174	613	103	1088	198	391	1294	16	44	3	53	12	9	8
Streptococcus parasanguinis	23.5	45	3.5	38	358	35	14	65	1573	110	4	133	1	792	474	104	85	3	595	820	17	222	11	263	53	160	7	845	67	440	19	52	131	128	94	91	174	616	574	80	16	169	10	16	1	9	4	12	0
Enhydrobacter aerosaccus	4	7	4.5	8	82	5	18	24	64	3935	5	3124	195	368	337	3	73	3	725	1136	4	2637	30	80	19	224	1	87	2	65	4	58	140	242	20	218	310	14	430	128	957	422	158	211	9	196	1	82	17
Corynebacterium xerosis	4	51.5	22	0	83	3	8	19	191	55	4	122	1	301	194	3	26	0	3410	8361	149	9691	188	1314	194	714	3	47	2	130	0	23	16	41	5	74	40	64	673	141	65	82	145	309	1	47	190	17	69
Streptococcus gordonii	6	17.5	1	5	95	14	16	107	317	36	1	42	0	445	456	549	47	2	449	3015	23	190	24	128	85	158	2	581	66	352	12	31	67	89	57	140	75	130	491	118	111	250	11	10	0	16	1	9	0
Actinomyces johnsonii	13.5	29.5	5	23	610	49	39	937	878	31	6	118	0	307	239	193	39	5	1659	3388	75	747	45	387	298	207	4	377	19	232	26	35	46	99	54	43	68	135	266	78	81	224	50	15	0	16	0	1	6
