Group.1	1-AC-PMA	1-Abd-PMA	1-Abd	1-FH-PMA	1-FH	1-UB-PMA	1-UB	1-AC	2-AC-PMA	2-AC	2-FH-PMA	2-FH	2-PC-PMA	2-PC	2-UB-PMA	2-UB	3-AC-PMA	3-AC	3-Abd-PMA	3-Abd	3-FH-PMA	3-FH	3-PC-PMA	3-PC	3-UB-PMA	3-UB	4-AC-PMA	4-AC	4-FA-PMA	4-FA	4-FH-PMA	4-FH	4-PC-PMA	4-PC	4-UB-PMA	4-UB	5-AC-PMA	5-AC	5-FA-PMA	5-FA	5-FH-PMA	5-FH	5-PC-PMA	5-PC	5-UB-PMA	5-UB	6-AC-PMA	6-AC	6-FH-PMA	6-FH	6-PC-PMA	6-PC	6-UB-PMA	6-UB	7-FA-PMA	7-FA	7-FH-PMA	7-FH	7-PC-PMA	7-PC	7-UB-PMA	7-UB	8-AC-PMA	8-AC	8-Abd-PMA	8-Abd	8-FA-PMA	8-FA	8-FH-PMA	8-FH	8-PC-PMA	8-PC	8-UB-PMA	8-UB	9-AC-PMA	9-AC	9-FH-PMA	9-FH	9-PC-PMA	9-PC	10-Abd-PMA	10-Abd	10-FA-PMA	10-FA	10-FH-PMA	10-FH	10-UB-PMA	10-UB	11-AC-PMA	11-AC	11-FA-PMA	11-FA	11-FH-PMA	11-FH	11-PC-PMA	11-PC	11-UB-PMA	11-UB
Finegoldia magna	238	116.5	161.5	187	146	20	11.5	61	345	296	6	10	3991	3580	79	23	1	510	144	186	4	6	769	610	5	9	1131	2215	1041	1761	97	33	1751	342	4	18	77	210	554	478	4	5	1879	1559	29	6	233	47	26	14	214	147	5	0	989	536	17	17	448	1965	36	9	433	455	4317	2521	4763	2214	148	291	25616	35179	1215	1406	329	394	10	183	1573	799	956	6110	144	354	92	74	185	100	9	9	212	142	5	5	4236	3236	19	46
Veillonella parvula	317.5	21.5	9	20.5	28.5	10	3	16	1220	1334	72	83	1471	84	2922	1375	1096	1009	805	284	0	10	664	251	4	1	896	461	366	458	346	128	419	102	29	5	1040	3238	7984	9375	108	135	1500	1213	857	209	1111	595	625	516	1143	350	52	11	1205	1051	53	74	230	687	80	22	31	43	226	143	255	169	20	97	195	198	97	176	862	1249	13	159	260	168	53	219	166	188	84	73	79	23	4	1	154	104	5	12	103	67	7	11
Corynebacterium minutissimum	171	19.5	31.5	34.5	44	8	8	89	217	1047	19	41	183	245	194	178	252	28	27772	26532	63	279	42609	103369	114	245	318	363	423	551	27	7	488	91	0	12	147	556	664	799	19	43	2274	1827	51	7	5260	7147	423	810	9252	16137	184	80	482	379	8	19	286	1202	40	3	37	47	261	157	316	179	5	22	1991	1887	97	153	1739	7712	17	463	9294	12239	0	673	237	125	31	28	63	45	4	0	66	57	5	12	267	213	3	5
Haemophilus parainfluenzae	161	18	19	22	32	3.5	8.5	37	1141	638	81	159	727	55	1161	428	1474	1857	784	628	8	37	680	992	16	43	1071	645	465	721	363	139	518	105	97	2	106	479	1864	1559	3	12	367	1797	70	19	4827	2770	1863	1183	3259	1800	87	28	2662	1548	81	134	888	472	114	29	42	62	557	234	547	293	61	213	205	258	230	335	2011	2130	7	814	467	183	0	122	151	115	58	32	70	36	19	21	619	545	18	30	134	66	6	17
Janibacter hoylei	79	14	6.5	5.5	5.5	12	8	12	3222	529	5	2	290	64	186	60	3	91	731	102	2	3	1145	286	6	1	2270	884	583	801	40	6	688	185	48	5	3990	20752	17862	30929	114	269	53826	63550	2153	396	1227	427	32	39	323	263	13	3	484	556	11	1	83	796	32	8	233	112	432	234	637	265	15	15	949	295	290	489	256	41	7	2407	453	117	243	5864	601	1154	163	184	210	332	39	18	530	374	3	6	146	270	15	42
Stenotrophomonas maltophilia	163.5	16	7	9	7	6.5	6.5	21	1762	8782	12	21	2048	1546	560	174	324	602	3960	2852	16	124	7139	3410	20	31	3004	1656	2124	2634	88	27	631	195	43	11	212	190	586	432	2	2	1378	494	53	7	1955	2771	38	102	947	1193	117	18	4657	1847	42	22	747	905	246	58	527	318	1196	577	1820	749	131	291	2503	1470	321	641	432	34	27	2791	492	99	316	630	1250	10178	14	16	108	27	11	8	121	49	1	1	90	75	8	48
Brevundimonas nasdae	141	10.5	3	5.5	6.5	3	8.5	29	6671	16366	35	45	36062	19040	1033	789	1	1575	3009	800	0	1	2453	2731	4	5	4548	7460	2233	3361	118	41	3256	961	45	98	188	510	739	740	10	22	2033	1512	115	19	231	55	19	2	294	73	3	3	395	373	24	7	4514	246	30	18	422	289	757	443	1450	658	23	54	952	522	483	768	237	34	50	634	871	745	562	385	397	230	35	56	73	126	18	5	420	200	1	0	125	129	5	16
Corynebacterium ureicelerivorans	1214.5	39	124	52	100.5	28.5	90.5	535	211	103	4	7	153	69	171	85	4	53	948	1548	4	15	4511	6451	8	14	548	621	613	512	76	70	1007	149	58	15	4713	20380	73699	118897	112	185	8467	7972	1358	401	887	675	31	28	366	359	2	2	395	402	6	7	210	900	35	22	84	57	82	98	316	170	1	29	875	662	80	140	727	3331	6	122	2372	3674	63	1353	188	1327	49	38	133	264	11	3	195	226	0	9	151	133	1	21
Corynebacterium genitalium	208	3	27	14	17.5	30.5	23	68	978	8	1	5	129	10	39	27	153	237	1448	1447	2	22	6461	8530	12	32	1161	1884	2005	3276	240	144	10339	3065	241	435	97	215	426	423	3	10	389	298	24	3	332	341	32	28	414	707	15	5	246	83	10	2	2	546	14	6	691	730	846	694	4833	2946	31	104	1468	1136	540	1277	465	532	4	195	1090	697	479	16591	507	345	131	193	244	418	5	1	61	48	2	1	75	25	1	8
Porphyromonas somerae	952	200	110	48	52	119	70.5	189	3043	4621	56	176	7901	327	1540	501	10357	9866	7251	1703	3	29	2537	2426	11	3	6354	879	1028	946	254	111	2071	167	153	13	569	1874	1460	118	12	2	2421	351	32	8	2920	1781	320	390	4521	633	39	7	2984	2614	68	90	7896	2147	253	40	20	67	363	191	424	215	28	134	156	158	154	264	988	1303	0	177	92	35	197	107	1	27	6	4	0	2	2	4	49	74	1	14	64	55	4	11
