"#OTU ID"	"1-FH"	"1-FH-PMA"	"1-UB"	"1-UB-PMA"	"1-AC-PMA"	"1-PC-PMA"	"1-Abd"	"1-Abd-PMA"	"2-FH"	"2-FH-PMA"	"2-UB"	"2-UB-PMA"	"2-AC"	"2-AC-PMA"	"2-PC"	"2-PC-PMA"	"2-FA"	"2-Abd-PMA"	"3-FH"	"3-FH-PMA"	"3-UB"	"3-UB-PMA"	"3-AC"	"3-AC-PMA"	"3-PC"	"3-PC-PMA"	"3-FA"	"3-Abd"	"3-Abd-PMA"	"4-FH"	"4-FH-PMA"	"4-UB"	"4-UB-PMA"	"4-AC"	"4-AC-PMA"	"4-PC"	"4-PC-PMA"	"4-FA"	"4-FA-PMA"	"4-Abd"	"5-FH"	"5-FH-PMA"	"5-UB"	"5-UB-PMA"	"5-AC"	"5-AC-PMA"	"5-PC"	"5-PC-PMA"	"5-FA"	"5-FA-PMA"	"5-Abd"	"6-FH"	"6-FH-PMA"	"6-UB"	"6-UB-PMA"	"6-AC"	"6-AC-PMA"	"6-PC"	"6-PC-PMA"	"6-FA"	"6-Abd"	"7-FH"	"7-FH-PMA"	"7-UB"	"7-UB-PMA"	"7-AC"	"7-PC"	"7-PC-PMA"	"7-FA"	"7-FA-PMA"	"7-Abd"	"8-FH"	"8-FH-PMA"	"8-UB"	"8-UB-PMA"	"8-AC"	"8-AC-PMA"	"8-PC"	"8-PC-PMA"	"8-FA"	"8-FA-PMA"	"8-Abd"	"8-Abd-PMA"	"9-FH"	"9-FH-PMA"	"9-UB"	"9-AC"	"9-AC-PMA"	"9-PC"	"9-PC-PMA"	"9-FA"	"9-Abd"	"10-FH"	"10-FH-PMA"	"10-UB"	"10-UB-PMA"	"10-AC"	"10-PC"	"10-FA"	"10-FA-PMA"	"10-Abd"	"10-Abd-PMA"	"11-FH"	"11-FH-PMA"	"11-UB"	"11-UB-PMA"	"11-AC"	"11-AC-PMA"	"11-PC"	"11-PC-PMA"	"11-FA"	"11-FA-PMA"	"11-Abd"	"12-FH"	"12-FH-PMA"	"12-UB"	"12-UB-PMA"	"12-AC"	"12-AC-PMA"	"12-PC-PMA"	"12-FA-PMA"	"12-Abd"	"12-Abd-PMA"
"SMGC_301"	20	13	22	20	266	267	51	90	24	8	114	278	273	550	106	608	2285	2752	4	15	0	6	770	664	694	1599	126	255	17	14	82	6	2	555	804	187	782	603	560	2000	4112	2158	1405	7100	29256	7977	17675	22953	60018	49111	80309	8100	5073	1178	3655	125263	115961	40271	39587	42381	53994	6	20	46	95	213	436	396	471	749	1484	36	11	402	274	66	177	261	194	243	789	181	534	1456	68	12	799	644	3955	9669	1579	1119	7	16	20	38	235	1032	231	476	597	400	17	0	8	2	4	8	71	42	45	62	11	40	44	23	8	32	10	1854	220	34	6
"SMGC_302"	287	30	143	71	627	1044	33	88	375	26	262	325	1433	1034	297	1078	1364	10	297	22	272	19	1204	707	586	1728	560	281	1711	272	90	35	49	3407	2647	358	1072	2168	1380	4562	961	267	300	2196	12955	2850	27593	29327	19121	13737	80774	1706	758	376	383	10046	12226	8054	8082	6671	12747	351	47	91	218	568	683	633	252	782	422	244	47	548	277	242	254	476	665	431	957	332	971	1134	85	62	1259	1003	6502	12891	986	954	180	135	265	240	2066	6142	675	1197	741	388	62	47	47	43	169	42	137	149	182	217	383	382	73	154	205	86	226	1855	830	22	26
"SMGC_303"	545	279	469	302	975	1573	219	733	417	232	1594	2810	2445	2375	454	1682	5573	781	297	47	45	87	7983	336	1107	1950	338	457	951	763	1375	426	282	25043	13011	4430	14884	13211	8146	85466	486	245	202	1666	4809	1292	10434	11780	7229	6250	25513	924	489	62	190	2603	3265	1653	2917	1904	2282	273	214	500	1495	1195	10225	1963	3839	3959	3747	1825	608	4697	2134	3961	3991	4859	6578	7728	15626	3469	4113	1196	230	538	3486	1761	12455	18643	4613	6275	413	550	742	686	1365	4543	1518	2751	3042	334	241	222	362	368	38	169	584	387	921	1349	122	477	284	153	254	186	283	2807	700	99	181
"SMGC_304"	26	24	256	292	161	1896	53	81	18	16	37	108	315	142	158	365	383	916	1245	250	914	551	619	36	215890	184855	115096	81323	62816	24	74	91	268	888	1067	168	433	1722	1006	1399	37	26	18	65	583	222	560	1128	890	785	890	94	56	8	27	1310	870	1504	1583	639	2631	16	16	26	119	339	2160	1143	515	754	532	62	10	97	50	48	12	393	1041	116	326	40	154	172	42	33	2294	1650	4080	6023	3438	4413	33	42	35	148	214	1000	123	14	500	96	31	28	33	32	8	20	77	85	92	158	37	48	45	233	324	56	19	3090	184	10	22
"SMGC_305"	578	403	365	224	6562	25440	808	886	410	222	1677	2276	7517	5244	6532	11815	11517	10447	1467	340	557	356	4969	5373	182771	155183	76619	54014	49927	661	1372	245	92	11164	12192	2972	13487	13627	9456	92946	1331	881	94	537	6061	1867	16030	22416	10880	9059	19763	1861	1410	84	329	8917	14266	23758	19288	6994	8983	268	240	245	630	3250	19657	5737	9462	9209	9703	923	278	3658	1907	1677	1763	17795	17854	5230	11159	4491	6341	4777	481	1298	204358	81475	265444	266862	219926	275984	2794	3432	2223	1744	13850	73802	6971	2470	33101	1971	73	32	175	69	55	113	6696	7041	1025	1228	257	2069	1731	191	223	39383	31145	99747	26414	800	470
"SMGC_314"	267	233	228	155	1971	10964	202	243	509	245	2558	3746	9284	6343	933	5901	11966	6238	51	38	36	46	36568	1294	4626	14130	779	1763	3457	2830	4123	840	865	139880	73137	17837	55766	52934	27562	295817	29609	12373	3779	23977	161728	36786	212464	195011	243282	151402	664094	7908	3853	588	1404	70435	52940	58304	38498	23803	168128	120	104	237	793	1815	6435	2293	2391	5509	2574	4391	1164	18822	7671	13930	13456	18275	19074	27363	49093	13932	15417	24014	209	228	6589	5178	12975	17153	5106	4387	631	820	1182	1524	11763	22960	3246	25212	7463	2526	322	296	399	175	59	236	633	671	1081	1403	565	426	312	138	136	667	606	9349	3243	58	59
"SMGC_316"	97	89	90	133	1339	6853	83	236	55	46	495	1643	5137	2853	832	5034	2525	5070	40	16	16	12	2237	1387	1486	7622	289	775	2285	126	268	71	180	9179	7879	989	4437	5302	3213	18850	14726	6769	4772	32973	197304	45534	432204	441859	301732	200503	1208263	982	523	54	225	9653	12298	5034	4433	3984	8811	25	32	102	320	776	2316	874	1034	2149	1568	243	83	1385	895	549	857	1101	2408	1105	2714	983	1487	7126	47	51	1739	3006	10655	17748	1896	1376	3402	2896	5439	3864	39902	162863	12585	6669	47319	1156	36	61	78	106	21	48	283	357	365	413	115	120	110	83	158	140	62	6191	2434	94	16
"SMGC_324"	97	46	27	38	2357	2370	25	105	971	560	14718	19246	319146	139639	340991	759703	454040	527460	16	18	15	20	35027	1086	6514	9891	962	2028	8462	622	1026	1284	874	110610	63829	13666	37103	50720	29889	151824	62	26	38	228	1376	706	3422	5496	3039	2123	7645	46	64	2	26	358	1984	467	2470	358	358	72	82	39	142	494	1413	92593	1188	1889	825	664	210	7798	3829	2689	3152	4854	8004	6470	14218	3391	5371	3276	38	150	605	2312	10682	16441	1140	2975	320	296	602	502	3374	2640	1437	832	1898	1126	6	2	49	28	24	76	316	301	458	2449	90	52	47	7	29	105	170	3218	1174	30	28
"SMGC_326"	512	449	860	591	1053	6714	131	277	169	123	1035	1521	2815	1674	885	3645	2802	1978	42	44	77	50	3856	1469	2422	4881	595	997	4899	354	719	483	530	10847	6254	1240	4498	5723	4131	21794	1790	670	683	3860	27964	5053	46155	40922	36374	22222	129758	3868	1734	256	739	28107	21380	17121	10936	11352	34719	165	113	777	1478	566	1239	514	1140	1859	1383	2600	709	2452	1180	1121	1024	1916	2595	3038	4891	1875	1991	4776	183	807	8112	3964	16142	14486	5723	5469	2646	2348	4406	2430	43503	105073	11225	4315	23004	1602	828	721	1032	370	349	487	2651	1382	6007	5569	3637	479	382	411	413	189	208	6985	1020	88	63
"SMGC_329"	48	62	112	147	646	1378	43	94	162	74	2004	2390	2885	2117	367	1145	8172	1728	10	22	8	13	6002	8	1297	3164	200	389	1308	372	739	215	169	21375	6905	3510	12214	13633	7759	112752	466	254	145	1009	6288	1492	4979	6015	10821	7006	15152	486	282	37	126	3958	5191	2263	2504	1967	3410	34	56	85	300	562	3693	1098	1223	2246	1532	601	196	4288	1744	2732	2636	4370	5543	6064	11513	3002	3392	2545	35	75	2121	1911	6578	8048	2610	2122	78	110	123	258	2110	3151	878	2874	1887	1056	20	28	28	51	14	80	158	248	336	395	50	82	73	118	193	102	53	1955	1041	22	15
