"#genome"	"1-FH"	"1-FH-PMA"	"1-UB"	"1-UB-PMA"	"1-AC-PMA"	"1-PC-PMA"	"1-Abd"	"1-Abd-PMA"	"2-FH"	"2-FH-PMA"	"2-UB"	"2-UB-PMA"	"2-AC"	"2-AC-PMA"	"2-PC"	"2-PC-PMA"	"2-FA"	"2-Abd-PMA"	"3-FH"	"3-FH-PMA"	"3-UB"	"3-UB-PMA"	"3-AC"	"3-AC-PMA"	"3-PC"	"3-PC-PMA"	"3-FA"	"3-Abd"	"3-Abd-PMA"	"4-FH"	"4-FH-PMA"	"4-UB"	"4-UB-PMA"	"4-AC"	"4-AC-PMA"	"4-PC"	"4-PC-PMA"	"4-FA"	"4-FA-PMA"	"4-Abd"	"5-FH"	"5-FH-PMA"	"5-UB"	"5-UB-PMA"	"5-AC"	"5-AC-PMA"	"5-PC"	"5-PC-PMA"	"5-FA"	"5-FA-PMA"	"5-Abd"	"6-FH"	"6-FH-PMA"	"6-UB"	"6-UB-PMA"	"6-AC"	"6-AC-PMA"	"6-PC"	"6-PC-PMA"	"6-FA"	"6-Abd"	"7-FH"	"7-FH-PMA"	"7-UB"	"7-UB-PMA"	"7-AC"	"7-PC"	"7-PC-PMA"	"7-FA"	"7-FA-PMA"	"7-Abd"	"8-FH"	"8-FH-PMA"	"8-UB"	"8-UB-PMA"	"8-AC"	"8-AC-PMA"	"8-PC"	"8-PC-PMA"	"8-FA"	"8-FA-PMA"	"8-Abd"	"8-Abd-PMA"	"9-FH"	"9-FH-PMA"	"9-UB"	"9-AC"	"9-AC-PMA"	"9-PC"	"9-PC-PMA"	"9-FA"	"9-Abd"	"10-FH"	"10-FH-PMA"	"10-UB"	"10-UB-PMA"	"10-AC"	"10-PC"	"10-FA"	"10-FA-PMA"	"10-Abd"	"10-Abd-PMA"	"11-FH"	"11-FH-PMA"	"11-UB"	"11-UB-PMA"	"11-AC"	"11-AC-PMA"	"11-PC"	"11-PC-PMA"	"11-FA"	"11-FA-PMA"	"11-Abd"	"12-FH"	"12-FH-PMA"	"12-UB"	"12-UB-PMA"	"12-AC"	"12-AC-PMA"	"12-PC-PMA"	"12-FA-PMA"	"12-Abd"	"12-Abd-PMA"
"SMGC_103"	0.00014839333190516	7.33872477785518e-05	9.71301808833774e-05	6.52930660382704e-05	0.00126161312725187	0.00753352475173796	0.000305960069782639	0.000522344528306163	2.26637088727881e-05	9.71301808833774e-06	8.74171627950397e-05	0.000158645962109516	0.000348589426948121	0.000327544554423389	0.00101285194176722	0.00202624349565046	0.000290850930534113	0.000297865888042357	2.64409936849194e-05	1.02526302043565e-05	1.18714665524128e-05	1.1331854436394e-05	0.00108084306838558	0.000267647609545307	0.000300024336506432	0.0010123123296512	0.000646994927106497	0.000273043730705494	0.000297326275926339	0.00013975953804886	0.000328084166539408	5.45008237178951e-05	6.04365569941015e-05	0.00170409506238725	0.00107059043818123	0.000331321839235521	0.0011099821226506	0.00338120951897357	0.00249786448505086	0.010496534880797	0.00013544264112071	8.63379385630021e-05	4.91047025577075e-05	0.00031405425152292	0.00123517213356695	0.000464066419776136	0.00640087892021457	0.00968981476734893	0.00440323486671311	0.00374544769728624	0.0326605629341517	0.00174132829839255	0.00141540258031722	2.26637088727881e-05	9.38925081872648e-05	0.0023322035654331	0.00325278183536111	0.00126485079994798	0.00145911116171474	0.00296247051694301	0.000951875772657099	4.37085813975198e-05	3.99312965853885e-05	0.000101986689927546	0.000323767269611258	0.000512091898101806	0.00191616262398263	0.000834779943481027	0.00100098047521481	0.00106033780797687	0.00148501254328364	0.000779199895531094	0.000184547343678417	0.00326357407768148	0.00167603523235428	0.00191993990879476	0.00202570388353444	0.0511260895443138	0.0558601066381464	0.00480038938410292	0.0103060518038424	0.00584022193167108	0.00930075443169941	0.00108569957742975	4.96443146737262e-05	8.09418174028145e-05	0.00103875332333612	0.00166146570522177	0.00122599872759463	0.00176507123149738	0.00213740359155032	0.00163556432365287	5.77384964140077e-05	6.1515781226139e-05	5.71988842979889e-05	4.53274177455761e-05	6.25950054581766e-05	0.000736570538365612	4.74858662096512e-05	0.000152170616717291	9.82094051154149e-05	4.74858662096512e-05	0.000889820379314941	0.000433848141279086	0.000167279755965817	4.96443146737262e-05	3.07578906130695e-05	4.85650904416887e-05	0.0114878023379235	0.00578895878064929	0.00113048738305931	0.00121142920046212	0.000200196095042961	0.000993425905590543	0.000832081882900933	6.1515781226139e-05	5.98969448780827e-05	0.000372871972168965	0.000246602737020575	0.0259504862714584	0.0029219996082416	0.000277360627633644	0.000136521865352747
"SMGC_121"	0.000415592250140043	0.000329412138241971	3.62863629044512e-05	5.78313908789691e-05	0.00165443135867482	0.00178426850094231	2.72147721783384e-05	6.12332374012614e-05	6.40681095031717e-05	3.62863629044512e-05	0.000293692749757902	0.000896386558624021	0.000596457090241917	0.000574912062267399	9.75196003057126e-05	0.00027101377294262	0.000483062206165507	0.000603260783286501	1.81431814522256e-05	6.8036930445846e-06	1.47413349299333e-05	5.6697442038205e-06	0.00135676978797425	0.000903190251668606	0.000883913121375616	0.00138228363689144	0.000234727410038169	0.000173494172636907	0.000618002118216435	0.000616301194955288	0.00173040593100602	3.28845163821589e-05	1.92771302929897e-05	0.00210914484382123	0.00236485030741353	0.000422962917605009	0.00183699712203784	0.00222310670231802	0.00176839321717161	0.00479433569875061	0.000104323293350297	8.05103676942511e-05	6.12332374012614e-05	0.000437704252534943	0.00095138307740108	0.000430900559490358	0.00260071166629246	0.00184720266160472	0.00268462388050901	0.00295733857671277	0.00358157741355341	0.000469454820076337	0.000847626758471165	2.2678976815282e-05	6.91708792866101e-05	0.00088221219811447	0.00206775571113334	0.000855564400356514	0.00244876252163007	0.00187385045936268	0.000585684576254658	0.000848193732891547	0.000716655667362911	0.000209780535541359	0.000695110639388393	0.00182338973594867	0.00174628121477671	0.00103246041951571	0.00264890449202494	0.00447342817681437	0.00166633782150285	0.0068637923331451	0.00229511245370654	0.00364394459979544	0.00329071953589742	0.000593055243719624	0.00063047555546484	0.00123600423643287	0.00159886786547738	0.00449100438384622	0.00952630421125921	0.00660355107418974	0.0142860544703665	0.00383161313294189	7.37066746496665e-05	0.000221120023949	0.00127512547143923	0.00110503314532462	0.00056413954828014	0.00179163916840728	0.000646350839235537	0.000429766610649594	0.00095421794950299	0.00130630906456024	0.000178596942420346	0.000311835931210128	0.000957619796025283	0.00114642227801251	0.000466052973554045	0.00128022824122267	0.00110900196626729	0.00038440865701903	1.47413349299333e-05	6.8036930445846e-06	5.6697442038205e-05	2.94826698598666e-05	9.0715907261128e-06	2.04110791337538e-05	6.8036930445846e-05	0.000104323293350297	9.0715907261128e-05	0.000225655819312056	1.36073860891692e-05	0.000425230815286538	0.000586818525095422	2.60808233375743e-05	7.82424700127229e-05	0.000166123505171941	0.000217718177426707	0.00186988163842	0.00206095201808875	5.78313908789691e-05	1.92771302929897e-05
"SMGC_122"	0.000112668795139536	9.73048685295997e-05	6.44431366139015e-05	4.73721070473051e-05	0.00135672007480525	0.00604613189674929	0.000186500998015066	0.000169003192709305	5.07863129606244e-05	4.69453313081402e-05	0.000182660016362582	0.000358491620898525	0.00100377653851587	0.000973475461035162	0.000506156026649584	0.000970061255121842	0.00113223603600451	0.000832212691371576	0.000204852354799157	4.35311253948209e-05	4.95059857431297e-05	4.82256585256349e-05	0.000721250999188699	0.000780146051193457	0.0223314673275431	0.0204310349610418	0.00808057184534842	0.00647376118739253	0.00623305967050352	0.000127179170271143	0.000279964884892182	5.71879490480981e-05	1.28032721749473e-05	0.00170966361109463	0.00204553611781742	0.000489084997082988	0.00202889186398999	0.00229519992522889	0.00162729589343581	0.0139756251304333	0.000489084997082988	0.000301730447589592	2.43262171323999e-05	0.00011736332827035	0.00117960814305181	0.000350809657593557	0.00457588947532617	0.00622452415572022	0.00217015463365357	0.00171990622883459	0.00473891780768717	0.000410131485337479	0.000355504190724371	1.96316840015859e-05	7.80999602671787e-05	0.00246889765106901	0.00350126816410893	0.00486268277204499	0.00499412969970779	0.0016772286549181	0.00194268316467867	6.57234638313963e-05	5.2493415917284e-05	3.92633680031718e-05	0.000124191740096989	0.00064656524483484	0.00333610595305211	0.00141134736941836	0.00169173903004971	0.00193457442563454	0.00155004948464696	0.000171137071405129	6.10289307005822e-05	0.0005509674792619	0.000325203113243662	0.000259479649412266	0.000319655028634518	0.00232720810566626	0.00247956704454813	0.00085952633867813	0.0021308912656504	0.000675585995098054	0.00110492238869795	0.0033715283394028	7.85267360063436e-05	0.000147664405751059	0.0249100463435775	0.0110347135118479	0.0314572129581064	0.0356494310439233	0.0262275030503796	0.0338433161157774	0.00047969593082136	0.000587670192830082	0.000257772546455606	0.000232592777844876	0.00200456564685759	0.00799777735195043	0.00108998523782718	0.00108657103191386	0.0043821332897453	0.000321788907330343	1.19497206966175e-05	6.40163608747366e-06	1.74978053057613e-05	7.68196330496839e-06	1.02426177399579e-05	1.53639266099368e-05	0.00086208699311312	0.00095939186164272	0.000195890064276694	0.000267161612717234	3.49956106115227e-05	0.00043104349655656	0.000332458300809466	3.8409816524842e-05	5.07863129606244e-05	0.00274971608743952	0.00212192897512794	0.014507814477172	0.00286025100388323	0.000149798284446884	6.99912212230454e-05
"SMGC_123"	1.31196114980275e-05	9.0828079601729e-06	8.07360707570924e-06	1.51380132669548e-05	7.26624636813832e-05	0.00121003186047192	5.34876468765737e-05	5.50014482032692e-05	5.04600442231828e-06	2.01840176892731e-06	1.86702163625776e-05	4.84416424542554e-05	0.000150875532227316	0.000115048900828857	0.00161472141514185	0.00278337603935076	0.000102938490215293	0.000756900663347741	5.04600442231828e-06	1.05966092868684e-05	3.02760265339097e-06	6.05520530678193e-06	0.000204867779546122	2.01840176892731e-06	0.000376936530347175	0.000315879876837124	5.24784459921101e-05	6.86256601435285e-05	0.000137251320287057	1.31196114980275e-05	5.04600442231828e-05	3.78450331673871e-05	7.06440619124559e-06	0.000871949564176598	0.000161472141514185	0.000236153006964495	0.000887592177885785	0.00119035244322488	0.00075387306069435	0.004290112959855	5.04600442231828e-06	5.04600442231828e-06	1.00920088446366e-05	4.74324415697918e-05	0.000472306013928991	0.000170050349032126	0.00237263127937405	0.003005904834375	0.000956217838029313	0.000862866756216425	0.0061006193465828	7.06440619124559e-06	6.05520530678193e-06	0	1.00920088446366e-06	1.05966092868684e-05	7.66992672192378e-05	4.94508433387191e-05	1.00920088446366e-06	2.6239222996055e-05	2.32116203426641e-05	4.03680353785462e-06	9.58740840240472e-06	2.01840176892731e-06	2.22024194582004e-05	7.36716645658468e-05	0.00137049480110164	0.000246245015809132	0.000269961236594028	0.000327990287450688	4.94508433387191e-05	0.00037542272902048	0.000141288123824912	0.00137856840817735	0.000754882261578814	0.00066809098551494	0.000488957828522641	0.0356192406167025	0.0271308519774787	0.00243267873199964	0.00429768196648848	0.00318554259180953	0.00393285584675486	0.000184683761856849	3.02760265339097e-06	1.00920088446366e-05	7.0139461470224e-05	0.000106975293753147	0.000283585448534287	0.000227070199004322	9.99108875619019e-05	0.000108993695522075	7.06440619124559e-06	8.07360707570924e-06	8.07360707570924e-06	1.81656159203458e-05	0	9.13326800439608e-05	2.01840176892731e-05	0.000560106490877329	0	2.01840176892731e-06	5.5506048645501e-06	1.00920088446366e-06	2.72484238805187e-05	1.61472141514185e-05	4.03680353785462e-06	8.07360707570924e-06	0.00572570121800455	0.00477856618793541	0.000199821775123804	0.000184683761856849	6.00474526255875e-05	7.36716645658468e-05	6.55980574901376e-05	6.05520530678193e-06	8.07360707570924e-06	3.93588344940826e-05	5.04600442231828e-06	0.00311288012812814	0.000286613051187678	4.3900238474169e-05	1.71564150358821e-05
"SMGC_134"	2.15965229598035e-05	2.41372903668392e-05	5.71672666583033e-06	9.52787777638389e-06	0.000221681956263865	0.000321407076990016	7.93989814698657e-06	4.44634296231248e-06	4.44634296231248e-06	8.89268592462496e-06	4.2557854067848e-05	0.000184205637010088	0.000761595030258952	0.000474488313263917	1.77853718492499e-05	0.00015371642812566	0.00155177369384706	3.62059355502588e-05	1.39742207386964e-05	1.01630696281428e-05	8.0986961099263e-05	3.62059355502588e-05	0.00036682329439078	1.07982614799017e-05	0.0295103782408679	0.0162526539109556	0.00322963297026826	0.00585392810581026	0.00558238358918332	4.31930459196069e-05	0.000163561901827923	8.25749407286603e-06	3.17595925879463e-06	0.00100296793392734	0.000678702493604412	0.000135295864424651	0.000571990262508913	0.00113858139427787	0.000838453244321782	0.00166515543938602	0	6.35191851758926e-07	3.17595925879463e-06	8.89268592462496e-06	5.74848625841828e-05	4.70041970301605e-05	0.000107347422947258	0.000495767240297841	8.82916673944907e-05	0.00013593105627641	0.000252488761074173	5.58968829547855e-05	0.000134660672572892	1.01630696281428e-05	4.50986214748837e-05	0.000913405882829335	0.00158543886199028	0.0004964024321496	0.00105918241280801	0.0013809070857239	0.000386514241795306	5.71672666583033e-05	6.28839933241336e-05	4.92273685113167e-05	0.000216600421449794	0.000346814751060373	0.000787320300255188	0.00048465138289206	0.000869577645057969	0.00125291592759448	0.000475758696967435	0.000457973325118185	0.000163561901827923	0.00103091637540474	0.000733646588781559	0.000517363763257645	0.000475758696967435	0.00129769695314349	0.00131103598203042	0.00143743916053045	0.00313562457620794	0.000712367661747635	0.00166960178234834	0.000765406181369505	4.95449644371962e-05	1.90557555527678e-06	1.90557555527678e-05	0.000549123355845591	4.16050662902096e-05	0.000287424312920914	0.00260746255147039	7.11414873969997e-05	0.000129579137758821	0.000156257195532696	0.00031314958291715	0.000322359864767655	0.000613277732873243	0.000264239810331713	0.000221046764412106	0.000874659179872041	0.00083337170950771	0.000379844727351838	3.81115111055355e-06	2.5407674070357e-06	1.14334533316607e-05	3.17595925879463e-06	9.52787777638389e-06	8.89268592462496e-06	7.30470629522764e-05	7.11414873969997e-05	5.33561155477498e-05	8.25749407286603e-05	1.93733514786472e-05	1.39742207386964e-05	2.85836333291517e-05	3.17595925879463e-06	3.17595925879463e-06	1.96909474045267e-05	6.35191851758926e-07	0.000282025182180963	0.000568179111398359	3.81115111055355e-06	2.5407674070357e-06
"SMGC_143"	0.0505968859896744	0.0643135867803074	0.991773516627781	0.956270987372999	0.312067186802074	0.0360988484011618	0.0920462816213532	0.203143032702323	0.0266507043594784	0.0190686084450581	0.075447296044114	0.123469353050411	0.0127358351529003	0.0168375132357909	0.00112688447053435	0.00658807951224268	0.0204897979543759	0.0222701393754294	0.00306775591274241	0.00257029423701759	0.0045347463602992	0.00477554139203109	0.04028532624099	0.00241883370858359	0.0200921006985777	0.0249370237099213	0.0193824128931909	0.0266584134282909	0.0116633676386895	0.0368366516339825	0.115624241847093	0.302307505685438	1.21464042862423	0.138048109124136	0.258960318701974	0.00483267919617086	0.0180836615356012	0.107053571226127	0.0716957003802385	0.261154228991087	0.0132818186146803	0.0128265300801063	0.00568339761336299	0.0604100771133619	0.140081035917459	0.071521566120003	0.0206349098379055	0.029205126984235	0.0744800346454622	0.0538265323474795	0.0990882892442618	0.0300299973471734	0.0192073716836833	0.0093089273284222	0.0441271633574355	0.0241044442781704	0.0250730661007303	0.00542718444400609	0.00804191919535461	0.0164067123315625	0.00532605960017141	0.00514603016966754	0.00680438691362895	0.11730255147504	0.627706846786792	0.0362979237663789	0.017050192840089	0.0036314248853276	0.0397992014311659	0.0333680241429896	0.0519151367566134	0.0528823981552652	0.0308693788984648	0.0430565097417689	0.0195130135883675	0.00640623618319468	0.00758572371150851	0.00927899800244423	0.0122329317815431	0.0282469350783037	0.0618385222168561	0.0214733844399248	0.0307478476960087	0.026068442926816	0.284198903044855	0.00384274406571754	0.00849856815383673	0.00647380390396314	0.00660440459913976	0.00626974031774968	0.00792084146753462	0.00761701346139457	0.0797176666916078	0.279556683195817	0.380563623625122	1.09072122873487	0.376454236473418	0.0144427136829169	0.00565301481274899	0.0126886737907532	0.0176056992692256	0.00349402207061054	0.169531492679786	0.26526134876961	0.204051342398291	0.36554000893345	0.000487938708368194	0.00140531789705672	0.00181979371438807	0.00195084788420072	0.00686243166704078	0.00783558823596099	0.00252086550169033	0.0783998693993048	0.0926167527134789	1.24235815880228	1.8622053831974	0.126026949997619	0.105262799888445	0.0497774573223683	0.0424012388927056	0.0295565698271581	0.0368883477424899
"SMGC_147"	0.000102049357490366	7.4530429627795e-05	2.63723058682967e-05	2.06391958969279e-05	0.000645548182776132	0.0006294954748563	3.09587938453918e-05	4.93047457537721e-05	0.000177153098115297	0.000115808821421651	0.000272896034637157	0.000710905636449737	0.0013879859240684	0.000819261414908609	6.42108316793311e-05	0.00117586085512775	0.00134785415426882	0.0010818378515973	9.17297595419016e-06	1.14662199427377e-06	5.73310997136885e-06	0	0.00258964577406731	0.00100730742196951	0.000331373756345119	0.000802635395991639	0.000280922388597074	0.000294681852528359	0.000459795419703782	0.00128650987757517	0.00325525984174323	1.89192629055172e-05	1.14662199427377e-06	0.00287744789463002	0.00258391266409594	0.000297548407514043	0.00133696124532322	0.00252371500939657	0.00177898402411575	0.00621411789796669	5.04513677480459e-05	3.09587938453918e-05	2.06391958969279e-05	0.000138741261307126	0.00113286253034248	0.000487887658563489	0.000475848127623614	0.000893791844536403	0.00558863560009035	0.00559207546607318	0.00164941573876282	0.000503367055486185	0.00137365314913998	1.77726409112434e-05	6.42108316793311e-05	0.00122516560088152	0.00200601517898196	0.000904684753482004	0.00277883840312248	0.00239185348005508	0.000844487098782631	0.000333667000333667	0.000283215632585621	0.00012154193139302	0.000345706531273542	0.00636088551323374	0.00126300412669256	0.000839900610805536	0.0049832191871138	0.00734526049531777	0.00615965335323869	0.00176809111517015	0.000514833275428923	0.00125211121774696	0.000941949968295902	0.000319334225405245	0.000361185928196237	0.000617455943916425	0.000823274591888567	0.00154908631426386	0.00299383002704881	0.00157660524212643	0.00275131947525991	0.000396731210018724	1.94925739026541e-05	2.29324398854754e-06	0.00125555108372978	0.00158807146206917	0.000184606141078077	0.0005595515332056	0.000869139471659517	0.00280177084300796	3.09587938453918e-05	3.55452818224869e-05	3.09587938453918e-05	9.05831375476278e-05	0.000352012952242047	0.000202952092986457	0.000254550082728777	0.000173139921135339	0.000241363929794629	0.000306148072471097	1.60527079198328e-05	1.14662199427377e-05	1.26128419370115e-05	6.87973196564262e-06	1.83459519083803e-05	1.83459519083803e-05	4.93047457537721e-05	9.40230035304491e-05	0.000227031154866206	0.000251683527743092	4.12783917938557e-05	2.40790618797492e-05	3.32520378339393e-05	4.58648797709508e-06	6.87973196564262e-06	6.4784142676468e-05	0.000153074036235548	0.000636375206821942	0.000514259964431786	1.77726409112434e-05	1.03195979484639e-05
"SMGC_159"	8.83456649157278e-05	6.25087251762225e-05	0.000122517101345396	4.95902553064699e-05	0.000827615521333186	0.00531657543865498	3.41714364296683e-05	0.000163356135127195	5.37575036515514e-05	3.58383357677009e-05	0.000883873373991786	0.00204153496425543	0.00661217294914082	0.00576622153508927	0.000750521426949178	0.00248368001366857	0.00705640162272651	0.00376219180593958	8.8762389750236e-05	2.2086416228932e-05	0.000159605611616621	0.000104181208627038	0.00421558842588445	0.00110140373760504	0.0204224339647409	0.020377427682614	0.00274955045808477	0.0122650453292439	0.00708432218663855	0.00021169621593014	0.000368384753705205	6.79261480248285e-05	0.000112515705317201	0.0103810323524325	0.00906334842571776	0.00201736492385395	0.00639714293453461	0.00594874701260384	0.00337547115951602	0.0204070151458641	0.000179191678838505	8.58453159086789e-05	0.000141269718898263	0.00100555702566817	0.00910293728499603	0.00268829190741208	0.0165518937018292	0.0193085284821006	0.0135998149741735	0.00966968305992712	0.0326549747568931	0.0263545119839644	0.0124446537329169	0.00142519893401787	0.0043310212050432	0.265931702966872	0.170550055945309	0.156706040218114	0.102505141342646	0.0931421677609166	0.320482650703327	1.50020940422934e-05	1.25017450352445e-05	6.00083761691736e-05	0.000206278793081534	0.000589665640829032	0.00151396132376811	0.000890540971343917	0.00100514030083366	0.00157146935093023	0.00173940945923702	0.000379219599402417	0.000133768671877116	0.00241116989246416	0.00102305946871751	0.00248284656399956	0.00277038669981018	0.00247617896664743	0.00309709897006457	0.00351924122742133	0.00726226369097353	0.00126100934922166	0.00230115453615401	0.00990679949076225	0.000321294847405784	0.000911793937903832	0.0785180431435221	0.0265478723071762	0.147845220061967	0.104579180843993	0.0506583210573142	0.0436077535822709	0.000573413372283215	0.000622170177920668	0.00102222601904849	0.000977219736921612	0.0107648359250145	0.0691967420452438	0.00257994345043996	0.010019731920914	0.0090095909220662	0.0030525094127722	0.000210862766261124	0.000101680859619989	0.000307542927867015	0.000113765879820725	0.000156688537775064	0.000360050257015042	0.00184734119137463	0.00124975777868994	0.00305834356045531	0.00387304061191875	0.00138477662507058	0.000117933128165806	8.83456649157278e-05	0.000102514309289005	9.83470609439234e-05	0.000319211223233243	0.000209195866923091	0.00707473751544486	0.00114099259688331	6.54257990177796e-05	4.50062821268802e-05
"SMGC_163"	0.000163551288813189	9.48403923295413e-05	2.70972549512975e-05	3.67748460053324e-05	0.00103840552009794	0.00117969834948685	8.12917648538926e-05	0.000139357311178102	0.000334844650469605	0.000319360504783149	0.000458717815961251	0.00103550224278173	0.00190648543764486	0.00142067036673231	0.000414200897112691	0.00139163759357021	0.00215229625041735	0.00261488510280021	4.25814006377532e-05	3.38715686891219e-05	5.8065546324209e-06	1.16131092648418e-05	0.00327489681268539	0.00333005908169338	0.000713238460682367	0.00241262344977088	0.000441298152063988	0.000471298684331496	0.00121744095459758	0.00139647638909723	0.00331941373153395	5.12912325863846e-05	0.000125808683702453	0.00367554908232243	0.00338618910980679	0.00043355607922076	0.00231100874370352	0.00319070177051528	0.00239810706318983	0.00875628438569071	9.87114287511553e-05	6.00010645350159e-05	3.48393277945254e-05	0.000228391148875222	0.00185809748237469	0.000598075127139352	0.000960017032560255	0.00151647851816726	0.00653527723878972	0.00631075712633611	0.00256843266574084	0.000666786023623	0.00170422378461553	2.51617367404906e-05	0.000104517983383576	0.00182616143189637	0.0031674755519856	0.00123776389581105	0.00367554908232243	0.00285488936094027	0.000982275491984535	0.000458717815961251	0.00036678070094792	0.000164519047918592	0.000574848908609669	0.00743142217039335	0.00165002927471294	0.00145550969452684	0.0073075490049017	0.0100879209147259	0.00801788418826786	0.00229068580249004	0.000720012774420191	0.00193745372901777	0.00119324697696249	0.000462588852382865	0.000436459356536971	0.0024445595002492	0.00193358269259616	0.00231681529833594	0.00431620561009953	0.00219197437373889	0.0039445861136246	0.000453879020434233	4.83879552701742e-05	1.74196638972627e-05	0.00148744574500515	0.0021406831411525	0.000431620561009953	0.000750981065793103	0.00142163812583772	0.00195197011559883	0.000195487339291504	0.000317424986572342	5.8065546324209e-05	0.000195487339291504	0.000948403923295413	0.000848724735438855	0.000565171317555634	0.000193551821080697	0.000818724203171347	0.000706464146944543	1.54841456864557e-05	2.8065014056701e-05	2.51617367404906e-05	2.51617367404906e-05	9.67759105403483e-06	2.12907003188766e-05	0.000263230476669747	0.000257423922037326	0.000301940840885887	0.000431620561009953	3.19360504783149e-05	7.16141737998577e-05	5.4194509902595e-05	1.06453501594383e-05	3.19360504783149e-05	9.48403923295413e-05	0.000204197171240135	0.00102195361530608	0.00104808311115197	4.35491597431567e-05	7.74207284322786e-06
"SMGC_170"	0.00273991707298757	0.003230899341483	0.00294052963862918	0.00268663494771021	0.00672999730013392	0.00686230861793677	0.00238160372045122	0.00741193698405291	0.00213736417975029	0.00192709646389063	0.00257291873403101	0.00393357971846297	0.00132347077618468	0.00244060741622816	0.000216346884515463	0.000847507630250658	0.00222962450405606	0.00228183383486475	0.00129808130709278	0.00185593443080207	0.00261940649434012	0.0024860223820686	0.00434553279443291	0.00067192693554472	0.0260549592606301	0.0256662500648147	0.00683799194331354	0.0295250917686268	0.0228344302656775	0.00251463023456651	0.00635630722687994	0.00271631559467679	0.0059339838043795	0.0166014944026949	0.0142921255098009	0.000523881298868023	0.00225966274917887	0.00453720540616893	0.00337715698737857	0.0114181091282293	0.00229220418139524	0.00240985397479291	0.00142931983042695	0.00843502530900951	0.012430111910343	0.00567830112267941	0.0137929184837123	0.0199414611818261	0.0105237561395133	0.0110072288467281	0.0260274242026008	0.00398578904927166	0.00272167956702015	0.000349730996786981	0.000935476776681739	0.0142463529458042	0.0117470994319553	0.00749382696182819	0.00697387924267863	0.00719022612719409	0.0140807849994725	0.00246134810928915	0.00389710470652813	0.00330098858010288	0.00876830679061019	0.00351769306277457	0.00213378819818805	0.000609347258205537	0.00462159857103777	0.00428688669681219	0.00721347000734864	0.0085022537623796	0.00281250949870102	0.0043079849880294	0.00272954672645708	0.000841070863438628	0.000857162780468704	0.00135744260102595	0.00177905082721393	0.00256934275246877	0.00534895322079719	0.0017500853765598	0.00291263698244372	0.00299810294178123	0.00162635641450633	0.00387100004112379	0.00423789574940952	0.0023948348522315	0.00727676488100027	0.00603983285862178	0.00422788300103525	0.00298379901553228	0.00264408076711956	0.00313005666142785	0.00376014461269438	0.00317153804754983	0.00326808954973028	0.0140664810732236	0.00255003245203268	0.00152801692154475	0.00713408321666693	0.0011532540538221	0.00188668787223733	0.00198323937441779	0.00220959900730752	0.00226574191783467	0.000188811826486223	0.000330063098194666	0.000709117143792007	0.000542118804835442	0.00152444093998251	0.00197036584079372	0.00078814633631749	0.00247636723185055	0.00279820557245207	0.00126518227672018	0.0014808139649232	0.00208336685816048	0.00259723540865423	0.00432407690505948	0.00360601980736187	0.00160418532882044	0.00264229277633844
