#FeatureID	1-AC-PMA_filtered	1-Abd-PMA_filtered	1-Abd_filtered	1-FH-PMA_filtered	1-FH_filtered	1-PC-PMA_filtered	1-UB-PMA_filtered	1-UB_filtered	10-AC_filtered	10-Abd_PMA_filtered	10-Abd_filtered	10-FA_PMA_filtered	10-FA_filtered	10-FH_PMA_filtered	10-FH_filtered	10-PC_filtered	10-UB_PMA_filtered	10-UB_filtered	11-AC_PMA_filtered	11-AC_filtered	11-Abd_filtered	11-FA_PMA_filtered	11-FA_filtered	11-FH_PMA_filtered	11-FH_filtered	11-PC_PMA_filtered	11-PC_filtered	11-UB_PMA_filtered	11-UB_filtered	1bis-AC-PMA_filtered	1bis-AC_filtered	1bis-Abd-PMA_filtered	1bis-Abd_filtered	1bis-FA-PMA_filtered	1bis-FH-PMA_filtered	1bis-FH_filtered	1bis-PC-PMA_filtered	1bis-UB-PMA_filtered	1bis-UB_filtered	2-AC-PMA_filtered	2-AC_filtered	2-Abd-PMA_filtered	2-FA_filtered	2-FH-PMA_filtered	2-FH_filtered	2-PC-PMA_filtered	2-PC_filtered	2-UB-PMA_filtered	2-UB_filtered	3-AC-PMA_filtered	3-AC_filtered	3-Abd-PMA_filtered	3-Abd_filtered	3-FA_filtered	3-FH-PMA_filtered	3-FH_filtered	3-PC-PMA_filtered	3-PC_filtered	3-UB-PMA_filtered	3-UB_filtered	4-AC-PMA_filtered	4-AC_filtered	4-Abd_filtered	4-FA-PMA_filtered	4-FA_filtered	4-FH-PMA_filtered	4-FH_filtered	4-PC-PMA_filtered	4-PC_filtered	4-UB-PMA_filtered	4-UB_filtered	5-AC-PMA_filtered	5-AC_filtered	5-Abd_filtered	5-FA-PMA_filtered	5-FA_filtered	5-FH-PMA_filtered	5-FH_filtered	5-PC-PMA_filtered	5-PC_filtered	5-UB-PMA_filtered	5-UB_filtered	6-AC-PMA_filtered	6-AC_filtered	6-Abd_filtered	6-FA_filtered	6-FH-PMA_filtered	6-FH_filtered	6-PC-PMA_filtered	6-PC_filtered	6-UB-PMA_filtered	6-UB_filtered	7-AC_filtered	7-Abd_filtered	7-FA-PMA_filtered	7-FA_filtered	7-FH-PMA_filtered	7-FH_filtered	7-PC-PMA_filtered	7-PC_filtered	7-UB-PMA_filtered	7-UB_filtered	8-AC_PMA_filtered	8-AC_filtered	8-Abd_PMA_filtered	8-Abd_filtered	8-FA_PMA_filtered	8-FA_filtered	8-FH_PMA_filtered	8-FH_filtered	8-PC_PMA_filtered	8-PC_filtered	8-UB_PMA_filtered	8-UB_filtered	9-AC_PMA_filtered	9-AC_filtered	9-Abd_filtered	9-FA_filtered	9-FH_PMA_filtered	9-FH_filtered	9-PC_PMA_filtered	9-PC_filtered	9-UB_filtered
Stenotrophomonas maltophilia	262	30	12	11	10	1385	10	13	1468	316	630	1250	10178	14	16	696	108	27	11	8	16	121	49	1	1	90	75	8	48	65	21	2	2	101	7	4	2481	3	0	1762	8782	1846	3472	12	21	2048	1546	560	174	324	602	3960	2852	4724	16	124	7139	3410	20	31	3004	1656	1538	2124	2634	88	27	631	195	43	11	212	190	1026	586	432	2	2	1378	494	53	7	1955	2771	326	1091	38	102	947	1193	117	18	511	1366	4657	1847	42	22	747	905	246	58	527	318	1196	577	1820	749	131	291	2503	1470	321	641	432	34	43	506	27	2791	492	99	4
Streptococcus gordonii	67	1	1	10	29	36	1	1	37	11	111	153	250	8	11	89	2	10	0	0	0	33	16	0	1	46	9	0	0	3	5	0	11	97	5	6	190	0	1	220	95	0	537	20	14	64	16	235	107	0	317	132	36	37	2	1	138	42	0	0	159	445	877	390	456	1201	549	264	47	0	2	144	449	751	3138	3015	11	23	252	190	106	24	330	128	117	786	116	85	328	158	8	2	1781	1201	1038	581	59	66	205	352	49	12	52	31	62	67	275	89	20	57	206	140	60	75	113	130	121	144	23	491	52	118	1
Streptococcus infantis	320	6	9	38	76	295	4	0	776	101	87	8	75	20	17	218	53	31	1	2	5	80	54	3	1	110	14	2	3	9	31	2	6	391	23	47	361	3	1	500	282	289	1274	44	81	490	34	273	160	636	660	456	375	227	0	6	165	269	6	0	1162	846	2215	573	669	1321	546	531	115	0	5	100	743	868	1036	964	19	20	272	194	75	8	1017	363	257	790	312	157	1028	269	29	3	1485	1959	1574	1266	54	89	213	402	127	27	69	76	688	387	550	300	112	382	317	286	210	370	580	719	330	675	8	188	154	76	2
Streptococcus intermedius	46	2	2	12	29	137	4	0	0	0	10	81	47	24	36	169	0	6	4	0	1	27	11	0	0	131	154	0	0	0	0	0	0	41	9	5	272	0	0	143	160	0	354	6	7	58	7	599	342	0	0	72	29	22	0	0	111	29	0	0	201	83	273	44	53	37	7	39	4	0	0	264	996	2156	1782	1629	28	47	545	474	304	78	45	45	4	77	16	14	26	19	0	0	616	8	86	49	1	8	0	6	14	0	7	3	26	23	39	22	2	6	163	187	11	13	74	223	29	82	0	0	7	3	0
Streptococcus mitis	1216	104	57	118	193	693	33	66	982	149	459	571	386	40	45	543	103	52	19	22	70	476	405	5	17	96	64	10	27	303	108	12	33	1046	61	62	790	9	8	1409	2119	1837	1389	226	355	1488	145	897	354	3094	3844	1251	534	445	17	18	1446	623	7	10	3631	4259	10083	2469	3887	3518	1548	2113	385	12	45	608	1849	1819	7050	7638	56	77	1390	570	153	28	4052	2846	1706	4307	2852	1013	5075	1906	133	35	12640	11158	13283	10897	511	662	1290	2390	696	279	743	606	5405	3073	5467	3205	969	3828	1321	1016	1792	2746	2685	2139	5017	1577	76	1629	804	348	5
Streptococcus oralis	466	16	19	63	103	717	16	1	1	0	406	121	126	31	32	479	42	19	6	9	22	147	139	8	7	61	47	2	4	30	35	2	8	263	17	14	221	5	2	692	1092	690	5192	75	151	244	50	1471	753	92	1887	243	177	480	2	6	157	163	3	2	2352	4025	6260	2715	4094	9085	4215	2471	546	5	29	520	1555	4104	10453	12174	64	102	876	631	328	108	940	723	496	1798	646	289	1652	428	36	7	3366	2701	3023	2681	132	206	456	1103	163	49	175	168	1233	647	1556	951	162	567	488	389	428	529	530	618	1005	500	6	6	619	162	6
Streptococcus parasanguinis	702	62	13	42	59	329	32	4	487	117	16	38	169	13	10	62	29	16	0	1	4	21	9	0	4	114	12	0	0	52	38	3	34	393	18	31	246	7	3	332	358	258	797	33	35	297	14	189	65	597	1573	347	110	57	1	4	618	133	0	1	392	792	1773	367	474	250	104	405	85	0	3	103	595	731	712	820	11	17	159	222	60	11	492	263	125	282	190	53	636	160	21	7	1245	1339	1188	845	36	67	61	440	64	19	14	52	208	131	335	128	37	94	89	91	113	174	371	616	406	534	11	574	85	80	4
Streptococcus salivarius	545	11	8	27	25	186	15	3	592	333	477	211	32	19	10	262	23	21	4	5	2	80	26	1	1	90	11	6	4	39	54	4	1	510	17	28	196	4	0	215	195	154	47	3	5	243	18	97	28	1114	357	348	4	12	0	2	456	98	0	1	307	399	922	111	271	212	109	183	49	0	1	94	254	321	603	613	6	9	419	129	37	8	472	287	186	750	149	118	722	206	14	2	499	646	687	458	9	23	321	277	30	6	26	24	171	85	223	133	23	57	138	72	68	111	493	1378	214	418	0	0	211	117	3
Streptococcus sanguinis	287	15	7	22	71	270	28	3	252	16	0	42	119	17	38	146	20	21	7	1	12	92	64	0	3	18	23	7	3	19	19	2	19	132	13	7	394	3	2	1472	1295	593	7121	84	167	114	72	2487	1766	2	579	83	145	214	0	8	374	95	0	1	584	525	1217	308	444	477	210	218	63	0	12	245	1120	2829	6938	9476	39	51	796	590	282	79	2935	1904	1426	6945	1009	981	1749	1183	97	28	2385	1656	1500	1331	50	108	388	333	90	34	26	55	383	340	574	276	83	375	179	134	176	213	282	775	268	162	4	104	110	104	2
Streptococcus thermophilus	609	32	14	67	80	1069	32	16	832	219	154	702	240	32	42	663	61	27	7	0	0	44	28	0	2	8	5	3	1	97	99	10	38	1015	160	142	1139	16	15	285	209	188	170	8	17	0	38	122	43	194	803	158	60	77	2	9	256	187	2	2	1059	1039	1436	746	1039	195	99	957	229	1	1	174	446	2271	854	859	21	14	813	1315	61	9	840	499	304	841	194	186	1091	464	28	12	858	590	1931	1226	29	81	421	907	108	24	334	366	9515	4864	6087	3323	1338	4897	880	865	1105	1475	85	160	66	164	9	2633	698	182	4
Tissierellia bacterium S7-1-4	11	4	9	2	1	297	1	3	0	0	3	104	28	1	2	38	1	1	0	0	1	5	3	0	0	54	63	2	1	0	0	1	2	32	2	4	712	2	0	30	116	1264	286	7	6	5960	5484	59	11	0	94	6	22	19	0	0	80	229	2	0	31	103	730	142	202	3	2	131	49	0	4	11	2	31	14	8	0	1	65	17	0	0	2	7	5	5	1	1	2	34	0	0	4	10	19	15	0	0	6	43	2	0	52	60	674	376	616	280	10	24	6209	8041	157	177	48	9	8	12	7	0	166	43	0
Turicella otitidis	108	39	7	17	11	5	1	3	0	0	0	219	9	1	2	57	9	5	9	6	43	120	109	8	4	27	46	18	34	22	36	0	15	136	59	105	335	43	78	101	17	603	84	6	6	259	49	38	29	1	2438	1781	3987	3626	35	406	4412	2956	19	21	5355	6670	180461	6100	10261	1689	1272	2939	1137	326	614	101	261	892	238	484	7	10	333	364	36	2	189	83	39	32	5	7	65	26	3	0	281	1725	460	412	28	74	234	264	21	21	281	257	807	680	3240	1871	64	262	432	365	535	1650	1160	19	59	60	3	110	94	44	0
Varibaculum cambriense	133	89	129	16	22	3273	2	12	135	1	157	1947	19	4	8	300	0	2	10	6	73	221	243	3	6	3818	4945	7	65	67	84	56	174	814	182	270	11171	20	15	121	116	974	180	2	6	4457	4188	41	14	0	208	0	92	43	0	0	159	157	0	0	313	1598	6704	1074	1930	71	32	1417	282	38	44	56	207	2901	332	473	1	4	1376	1105	20	1	55	80	39	28	7	4	3	95	0	1	98	122	321	292	6	8	98	2551	18	11	517	643	3862	3035	4382	2818	107	353	33002	48824	777	1720	7	201	271	203	0	0	463	504	10
Varibaculum sp. Marseille-P2802	10	2	2	3	4	79	0	1	0	0	0	59	51	7	3	100	12	8	1	1	10	35	13	1	7	309	375	3	7	0	1	0	1	72	3	2	279	1	0	22	46	75	39	2	0	760	739	15	6	0	0	154	47	50	0	0	236	252	0	0	126	44	434	49	94	3	4	118	10	18	3	11	33	461	60	75	1	1	225	170	3	0	20	0	0	2	0	0	0	3	0	0	25	26	19	24	0	0	19	87	3	3	55	87	512	365	440	271	9	26	3056	4133	44	115	47	100	152	139	0	0	111	109	1
Veillonella parvula	619	42	17	35	50	563	18	5	581	53	219	166	188	84	73	300	79	23	4	1	8	154	104	5	12	103	67	7	11	16	16	1	1	412	6	7	215	2	1	1220	1334	1132	2695	72	83	1471	84	2922	1375	1096	1009	805	284	224	0	10	664	251	4	1	896	461	1854	366	458	346	128	419	102	29	5	1040	3238	6386	7984	9375	108	135	1500	1213	857	209	1111	595	435	3781	625	516	1143	350	52	11	1091	1194	1205	1051	53	74	230	687	80	22	31	43	226	143	255	169	20	97	195	198	97	176	862	1249	589	741	13	159	260	168	4
Xanthobacter autotrophicus	31	36	0	0	0	158	7	6	448	123	63	475	148	31	71	477	46	43	1	2	11	64	38	0	0	25	16	1	3	62	30	23	6	3	1	0	1149	2	3	148861	340528	421054	567596	688	1318	774384	523304	20162	19827	93	104	47	227	258	0	1	1214	904	3	4	690	454	417	167	277	14	4	189	73	1	3	61	110	310	72	105	1	1	510	159	5	0	317	95	48	102	3	10	720	91	2	2	56	81	167	71	2	0	227	132	8	4	37	22	87	33	206	38	5	5	187	23	45	40	557	47	111	61	6	459	433	97	3
Xanthomonas campestris	502	48	0	5	10	1217	22	16	649	2790	1503	1915	474	17	6	401	70	28	36	5	65	704	183	3	6	103	79	18	9	45	47	3	0	628	14	12	1216	3	0	1422	1328	749	4655	184	555	1619	112	3232	2429	29	1056	615	135	673	6	30	2642	241	0	0	1439	815	4891	1410	1227	167	81	734	142	10	26	793	1982	3798	169742	271941	98	145	1376	822	155	79	768	212	85	334	22	49	1065	94	3	1	2471	568	1039	1005	44	35	509	498	145	28	471	280	872	463	2358	992	64	166	2336	870	267	410	1201	86	205	516	23	2475	476	115	6
