#OTU ID	1-FH	1-UB	1-Abd	2-FH	2-UB	2-AC	2-PC	2-FA	3-FH	3-UB	3-AC	3-PC	3-FA	3-Abd	4-FH	4-UB	4-AC	4-PC	4-FA	4-Abd	5-FH	5-UB	5-AC	5-PC	5-FA	5-Abd	6-FH	6-UB	6-AC	6-PC	6-FA	6-Abd	7-FH	7-UB	7-AC	7-PC	7-FA	7-Abd	8-FH	8-UB	8-AC	8-PC	8-FA	8-Abd	9-FH	9-UB	9-AC	9-PC	9-FA	9-Abd	10-FH	10-UB	10-AC	10-PC	10-FA	10-Abd	11-FH	11-UB	11-AC	11-PC	11-FA	11-Abd	12-FH	12-UB	12-AC	12-Abd
SMGC_51	166	575	270	62	187	650	418	359	28	34	1823	8394	2061	2207	489	539	10397	2904	13474	65590	71	205	8956	4916	18975	8205	116	24	1885	1226	890	522	378	789	5433	93172	18072	17634	1461	12135	4089	207876	12188	11397	2	450	3714	4460	2712	3645	23	47	2459	1914	124	348	34	95	8	209	69	14	173	281	39	147
SMGC_512	94	82	52	58	805	20169	9429	14344	16	46	8525	13613	1349	3579	273	400	30419	4167	14441	65453	30	58	2663	5558	2704	11376	91	23	1184	1443	700	726	61	79	818	2383	1514	1478	703	15341	3342	6182	7718	9372	8058	110	1011	14699	1353	3104	158	374	6814	260840	2772	4333	16	30	30	370	606	126	131	22	238	48
SMGC_515	91	28	15	180	260	660	46	1255	12	0	2396	232	265	271	1260	32	2729	290	2347	6757	29	10	1068	1112	5484	1366	411	14	966	814	2251	773	376	123	6456	1415	5611	5724	1848	1334	337	598	1618	1641	749	4	1079	184	908	2822	8	38	384	196	238	438	14	14	8	85	263	30	25	6	63	8
SMGC_523	61	81	383	4	218	316	121	252	148	32	1445	9174	10074	1238	152	195	4255	2864	5921	52497	7	6	806	542	1671	1084	64	0	253	1468	376	314	74	221	1532	36870	9243	6919	820	5876	2223	112622	8075	7167	0	28	1822	2476	1946	1822	28	30	324	613	59	1301	8	10	0	76	18	10	64	21	399	101
SMGC_528	74	76	50	61	834	10119	11542	13930	42	434	4037	20815	3545	27832	140	70	10355	2228	8112	19078	71	223	16155	23641	18363	73993	472	33	5612	4591	2732	3752	46	70	1444	1849	1626	1468	509	4438	1131	2746	2040	2324	7895	111	1078	1929	2402	1139	2237	5904	48130	49169	7241	28194	54	230	56	1261	2460	737	104	50	161	17
SMGC_53	42	22	180	38	210	14973	445	1576	42	122	2252	3718	2716	2346	213	76	5794	1444	6921	16320	12	18	726	1113	783	3561	136	16	1916	1239	2327	812	708	438	4360	34627	25680	5546	32026	29315	5216	10283	11805	16421	16122	48	270	382	32788	582	2534	6699	58129	4842	10670	17797	16	60	28	603	401	165	64	10	146	20
SMGC_531	115	179	171	523	2336	4538	1462	11190	749	457	834	155856	62077	52838	173	115	1528	600	2764	13188	64	54	1620	2356	3060	2931	2052	162	20724	56947	13792	24130	41	149	312	1770	539	411	243	585	244	4247	731	612	1420	1045	145030	233148	279114	308515	815	1680	4145	62921	3307	57614	41	31	18	280	228	50	315	146	359	146
SMGC_538	164	134	206	396	1188	7404	15205	8604	4	4	1955	214	172	155	376	216	9268	7146	20702	63240	36	112	2475	34285	6438	46164	74	6	746	274	192	162	246	182	2924	56382	12144	9354	7027	27431	8992	563811	42073	37932	1734	4	108	489	496	410	12	52	1888	610	478	3723	2	16	10	1307	96	34	118	10	179	160
SMGC_539	254	681	243	189	1066	18287	796	4875	62	33	26998	4880	854	1696	323	22	3245	916	1540	5506	47	30	2602	1486	1776	8013	1162	42	9229	3490	3571	2720	109	116	5697	5523	3873	14504	1721	832	271	698	1150	2108	1261	10	1576	182	531	223	45	69	560	795	126	29	7	16	24	29	68	6	362	39	432	327
SMGC_540	220	113	46	320	939	2557	136	8767	20	22	3943	1881	818	2496	780	12	2777	270	1816	5932	31	20	740	593	1338	1194	697	18	3223	2175	3683	1525	156	88	3299	424	2260	3339	663	679	233	540	805	598	818	10	3937	430	3387	1429	47	70	732	1201	462	708	6	16	2	99	112	38	228	22	270	78
SMGC_541	371	73	78	378	650	2232	168	3662	28	24	4010	835	708	750	2237	47	6429	617	4880	12328	90	44	2233	1263	10957	3097	1440	56	4032	2598	6450	2624	648	272	11840	2506	9739	10707	3256	2842	708	1219	3071	3206	2106	15	2108	398	1686	4448	96	111	656	2393	868	1200	22	19	86	126	391	65	238	16	254	99
SMGC_544	62	112	44	260	2023	4788	297	12328	24	16	8475	1218	245	527	701	18	2630	210	2088	9438	60	30	4374	656	7219	5116	1431	50	2955	1557	9566	1791	105	42	2955	1590	2663	2444	1837	1362	350	630	1921	2145	38	8	517	160	630	268	40	44	144	2994	96	526	2	6	3	54	113	16	26	6	142	62
SMGC_545	134	282	129	119	568	6428	762	8235	1262	23	4377	2477	826	1992	180	128	8407	2099	6407	15101	106	46	2182	11970	3504	12450	137226	6110	1342573	525833	557978	715113	64	177	2202	5714	3789	3591	511	3347	877	2035	1872	1709	48519	153	1292	1871	2132	2112	199	435	18656	200462	4915	18014	100	183	390	325	299	83	124	147	399	66
SMGC_55	213	54	56	355	445	2537	145	1919	32	9	4906	685	526	598	2057	67	5462	540	4767	12421	64	30	2959	842	8835	3166	824	45	2106	1449	3949	1189	615	272	11090	2777	11178	11835	4101	3338	823	1331	4031	3776	2111	5	1584	288	1350	3172	30	50	1318	540	468	82	12	14	16	112	301	37	58	3	133	43
SMGC_56	146	352	132	104	307	1977	278	906	148	174	1420	59654	9925	16205	453	246	3465	1941	3655	36753	89	168	16532	13070	34858	22885	611	51	3943	3453	1966	1426	131	326	1769	14498	4508	4819	901	1147	342	2834	1075	662	2555	287	23284	24585	15737	18912	303	587	27508	9729	2662	8286	177	218	7	189	120	40	283	159	179	129
SMGC_573	80	71	30	96	619	5819	145	8141	18	6	2596	606	891	528	2959	44	4131	872	4123	9410	53	30	1055	696	4243	4637	1986	36	3149	1641	10601	1876	30	42	1499	646	1109	856	378	583	190	224	756	456	2525	9	768	123	442	392	62	35	320	416	2	1038	6	16	10	32	153	16	45	6	86	18
SMGC_590	102	543	115	51	346	4760	1149	1886	26	22	2627	5144	723	1477	127	114	6844	1360	4004	5350	4014	3295	179592	371108	269545	908184	476	31	4856	3977	2475	3059	41	51	918	1414	936	467	209	841	346	978	601	782	16389	90	3662	40233	2582	1831	1240	2187	2365	15145	7312	17690	63	99	6	308	371	79	185	353	508	166
SMGC_601	223	473	123	129	592	1729	276	1864	420	292	390	113009	34824	31695	147	194	929	240	1293	5295	53	103	1975	2593	2667	5339	1307	112	7654	15133	5279	7446	83	359	193	1703	772	668	1279	656	116	1899	441	368	430	364	9125	13602	8369	10166	421	726	780	3200	136	1991	246	301	8	124	100	79	297	305	91	105
SMGC_611	12	4	6	28	82	226	16	702	2	0	3144	2	18	60	125	224	14265	2190	7902	40676	6	4	212	128	112	54	35	6	184	166	163	104	8	6	71	134	538	116	442	2780	1071	2176	2885	1122	1008	0	22	12	28	10	4	0	48	183	246	2	0	0	0	46	8	0	6	0	2	2
SMGC_617	12	21	14	4	66	869	142	797	6	4	198	806	126	287	28	10	886	264	886	3093	11183	2644	47096	13139	87368	106756	252	40	3679	1242	1245	1370	8	2	103	648	230	570	36	384	121	307	185	185	794	7	435	1033	547	729	20	18	358	364	112	358	2	14	0	26	18	4	18	13	29	4
SMGC_619	125	1443	109	69	94	148	84	973	24	58	427	9023	1820	1222	242	836	3076	5133	5362	90877	16	29	1064	702	2308	1987	586	27	813	567	480	399	3	586	164	314	304	162	2137	2220	1175	1596	4655	1254	4	194	324	385	396	330	482	839	968	9684	2026	24580	4	112	0	23	92	10	165	917	104	32
SMGC_62	98	120	63	34	163	1046	505	1287	10	14	3808	832	205	223	58	42	7102	528	5435	2914	330	1925	10056	31782	16987	43412	154	18	2250	1319	1064	926	23	46	370	813	452	1159	129	773	128	451	417	577	4606	53	465	12699	869	916	115	225	2943	11065	956	1698	22	42	9	78	311	34	104	112	137	26
SMGC_622	100	8	141	12	38	264	4169	709	12	4	1442	718	710	296	48	18	3451	548	2630	13286	6	2	266	2124	528	1784	18	0	75	164	101	86	32	24	205	2184	473	254	326	1749	593	42349	2676	2917	254	2	436	1307	1585	2242	112	196	1568	8912	622	10318	24	68	6	4587	154	86	358	29	103	365
SMGC_66	161	302	66	487	2134	3945	1638	18110	24	24	3467	2544	694	1681	232	123	8404	1716	6570	10920	21515	1974	90958	59812	110125	165789	15318	852	140218	80861	49781	115857	46	80	789	1570	1896	702	603	2036	671	1489	1944	1698	30970	136	4738	20419	4008	3136	118	236	12368	21869	2469	7067	35	58	30	429	622	93	296	115	390	61
SMGC_7	66	189	118	184	736	867	662	4578	168	253	344	131474	18092	36197	55	75	718	509	893	7789	32	41	2213	1775	5007	5918	1249	151	12972	17002	7795	10073	7	45	19	927	374	81	147	253	151	1036	421	245	985	59	1923	2323	2586	2282	54	154	5195	9442	265	5236	29	36	11	80	99	30	109	131	169	45
SMGC_70	781	2760	1546	480	643	620	1243	1157	170	125	1380	1525	703	615	1392	1392	2999	570	2906	11971	721	785	2152	1098	2171	4328	339	79	2110	531	782	677	533	2456	1339	1530	1696	1714	3142	1088	374	3656	889	884	1798	2454	11422	21021	6673	17644	624	990	10159	39822	1507	36262	414	967	56	3465	311	194	1055	1238	368	988
SMGC_75	84	299	106	78	181	2232	464	876	235	199	3380	76010	10899	19937	589	258	4856	2531	5360	48755	140	127	20118	15643	43676	32389	542	60	5676	4051	2650	2326	166	172	1867	17680	4482	5143	295	1272	636	5750	1473	957	3411	143	26097	27627	17016	20056	228	350	42479	13369	1653	8742	87	61	10	263	134	98	157	149	237	105
SMGC_76	282	2439	502	250	701	16608	1983	6315	681	744	105430	342154	37105	76796	2718	743	19484	8984	21580	202231	320	337	43674	36253	86247	85986	1683	227	34082	19661	8894	10659	524	540	25255	41969	15855	37502	1167	4606	1883	7890	4486	3540	145095	874	166994	174334	98989	126939	1035	2185	85020	82462	10878	67860	192	200	63	1353	494	180	395	915	694	866
SMGC_77	1366	2779	2045	603	1094	8605	10486	9097	372	302	3315	60740	16065	14420	1841	1882	8330	2877	11810	59399	779	1211	9294	58429	19243	58581	844	92	8398	11010	4057	5368	770	2790	2555	44320	8147	10441	4270	7103	2388	146421	8551	7704	2158	3208	21268	43346	25792	27456	281	365	2197	11285	454	7858	334	983	84	9882	823	228	1260	1508	864	1135
SMGC_79	191	522	300	1298	4517	4783	1848	23969	159	70	1967	10170	4068	3100	137	144	1584	441	1872	8246	338	95	11914	7318	23601	12730	623	36	4192	2906	2105	2126	85	106	568	2182	1417	2373	361	637	227	2237	683	531	5391	173	8034	33053	10832	12786	784	1081	17383	41209	2361	27277	52	58	23	398	171	49	430	358	351	104
SMGC_84	486	160	407	75	185	2987	314	1160	335	127	9375	8403	13722	3925	1010	341	17492	782	19349	79423	1671	69	4523	3724	9273	13765	675	59	3101	2673	2099	1537	160	95	705	2288	1516	2267	2416	3749	1933	2641	9470	8196	37458	121	5001	6240	7539	8135	922	1848	5212	5732	1843	7875	450	925	342	1514	20010	1043	1505	148	652	144
SMGC_85	136	223	106	152	357	1454	429	1463	475	345	1264	109084	31914	28959	114	109	878	266	1585	4481	225	45	1659	2698	2545	4426	1059	143	7740	16420	5803	8005	194	123	466	1939	821	912	333	429	190	3319	416	386	2192	155	10539	17052	12799	14594	156	202	1008	3832	455	1833	86	108	71	424	246	89	232	121	344	107
SMGC_88	63	90	79	77	277	964	925	1253	224	194	1769	45479	16248	13616	293	213	3708	3763	5914	47657	441	52	1602	3165	2996	4665	423	39	2307	4751	1747	2096	114	88	569	9225	2258	2222	274	1764	702	4293	2655	1062	2070	699	110324	168584	127104	185316	1908	1443	6407	35162	2660	35735	91	103	35	411	1219	129	289	85	449	129
SMGC_90	991	623	1116	1018	3608	11232	4165	18961	3420	1640	7910	566278	180630	158249	1462	524	23314	5830	29556	210059	5473	179	9508	23528	14406	28478	2733	135	16461	42357	11888	15440	611	547	6507	36880	18584	20727	1522	6373	2924	19010	8698	6670	10134	3273	678035	863231	704706	899218	5095	5160	31094	157558	11521	83524	134	399	92	8549	1703	409	2422	485	10453	899
SMGC_92	828	590	1104	510	1652	6391	3192	9803	1862	739	4007	242787	80787	69506	750	303	11659	3342	15437	104328	2532	112	6552	18397	10938	21327	1900	135	9625	24352	7370	9169	509	322	4117	21994	11636	11869	969	3685	1746	15108	4935	4341	7834	1555	306661	384487	310655	398735	3006	2725	17265	77102	7392	43029	97	179	77	5471	1147	362	1918	300	12586	671
SMGC_94	305	719	292	227	761	1808	459	2595	356	134	1189	54826	24996	17897	355	320	1343	167	1331	3155	115	150	1083	1085	1234	2827	254	37	1444	2537	986	1490	177	448	367	1046	787	832	776	400	116	696	278	216	977	477	6264	11917	5944	9608	342	752	3219	20640	857	10456	231	269	22	103	97	93	201	386	75	152
SMGC_96	250	826	196	639	2200	3847	2398	26547	113	141	7484	1207	449	625	1479	321	4724	703	8340	14855	10046	416	25075	7831	27159	59410	1158	139	9969	5724	3978	10892	113	175	457	761	461	1055	608	1148	378	639	805	772	3873	231	1994	3882	1448	1196	510	957	3474	5033	989	2864	322	256	50	213	298	195	343	658	267	150
SMGC_97	163	360	213	261	582	9457	1106	5288	162	149	3325	2776	1064	2302	245	229	10622	2485	8075	27106	32168	4112	145446	184937	236737	459733	1445	157	8862	6455	5263	10581	162	243	953	1435	1369	1317	822	4855	1140	2356	2236	2017	12177	244	2668	5221	2522	2386	3046	8471	125636	119425	30504	81402	157	261	69	453	437	211	218	290	238	152
