#OTU ID	1-FH	1-UB	1-Abd	2-FH	2-UB	2-AC	2-PC	2-FA	3-FH	3-UB	3-AC	3-PC	3-FA	3-Abd	4-FH	4-UB	4-AC	4-PC	4-FA	4-Abd	5-FH	5-UB	5-AC	5-PC	5-FA	5-Abd	6-FH	6-UB	6-AC	6-PC	6-FA	6-Abd	7-FH	7-UB	7-AC	7-PC	7-FA	7-Abd	8-FH	8-UB	8-AC	8-PC	8-FA	8-Abd	9-FH	9-UB	9-AC	9-PC	9-FA	9-Abd	10-FH	10-UB	10-AC	10-PC	10-FA	10-Abd	11-FH	11-UB	11-AC	11-PC	11-FA	11-Abd	12-FH	12-UB	12-AC	12-Abd
SMGC_241	14111	706	421	192753	50074	63652	12966	62528	7143	5157	24232	87211	37927	52048	14554	2589	115109	4840	57882	136581	24631	10045	16922	36980	25271	43477	58396	783	15776	10331	17949	8699	8494	1784	13054	16997	38690	30134	81726	22991	5496	18593	19535	17840	22270	11448	65600	45773	41007	41319	244920	5122	85469	15288	11071	20287	3495	1551	695	22833	5509	1866	15968	771	47640	974
SMGC_244	285	58	56	1282	3270	1383	287	950	15240	174	12111	19667	2200	4169	357	129	71213	3139	10717	33390	194	181	2848	14534	3956	14087	824	33	1948	1417	2126	1013	1178	341	5100	24851	12669	15885	2001	2880	1456	13139	2394	2933	3480	539	38270	17040	10519	13857	1922	602	6842	5251	4104	6856	34	82	52	826	512	240	294	63	522	210
SMGC_256	66	19	318	129	384	3174	2236	5081	4	3	850	2070	442	573	308	78	1786	268	1064	5029	216	234	16189	16130	33330	63357	1430	168	12736	9926	7111	6503	31	26	106	1167	373	1373	208	518	153	565	355	307	1506	37	3152	8268	3811	2973	29	26	1120	5671	171	882	75	164	4	99	66	17	74	27	93	173
SMGC_258	53	36	24	35	474	7979	7712	9706	8	52	2242	2573	488	2388	55	43	5141	1008	3232	6363	123	498	32649	58818	35156	172976	194	11	2248	1820	1338	1557	22	64	488	899	752	868	310	1795	317	1066	797	1284	20956	35	289	2353	599	575	293	808	7514	13524	3986	8784	40	48	22	319	641	138	108	46	138	15
SMGC_262	38	53	30	21	128	1348	306	774	150	194	1107	81776	12300	22981	419	96	3581	1855	3689	37160	28	60	11558	9154	23824	18951	250	12	2805	2785	1600	1541	63	56	1034	11157	3269	3372	72	805	358	1699	886	494	347	110	24386	25866	14916	19035	117	249	20888	11276	912	9262	4	10	0	184	49	15	78	32	150	46
SMGC_265	96	57	28	26	326	1626	341	2475	166	4036	1658	98747	19552	109444	48	30	3628	558	2583	6544	48	228	7419	20559	10298	31039	121	16	833	2218	1358	685	42	16	134	270	800	180	223	1946	571	1490	1647	1031	4198	62	193	1258	2083	975	860	1197	4369	19900	2674	8971	42	206	127	1391	2421	955	94	4	52	19
SMGC_271	58	174	84	52	196	1944	400	705	230	274	3689	132016	17993	30784	1083	344	8691	5008	9588	94980	105	166	30139	24461	61012	45302	648	39	7683	6485	3641	3287	114	204	2429	23046	6054	7865	350	2117	830	4841	2409	1282	2097	226	58168	60221	33086	44739	304	564	21093	25501	2327	17446	12	32	10	359	137	33	156	144	220	123
SMGC_275	36	14	52	60	205	865	266	1269	273	184	276	97768	29343	26999	20	8	326	142	681	2133	39	18	754	1755	1258	2785	612	63	5986	11991	3660	5678	6	6	96	1048	209	64	18	130	70	1815	170	185	809	66	6852	10680	7403	9479	57	91	328	1792	136	1106	42	26	4	188	24	16	112	18	453	66
SMGC_28	128014	177890	115739	76648	149966	27734	2708	51732	55115	51445	56894	92183	90724	160432	128476	121100	121755	7888	157801	429403	74694	59196	554784	162175	274063	553767	196120	14096	220334	38620	161771	39023	87568	185001	144556	72931	220849	270310	530903	169450	22487	23965	91522	80518	44942	190334	54872	19895	65442	39260	143064	224201	47278	26054	10068	39873	152901	130766	4329	6095	40479	27167	117868	68003	66561	66083
SMGC_286	180	1	2	393	241	352	60	227	58	72	357	20296	2864	3014	60	12	1054	194	561	1108	135	46	496	460	236	328	407	2	235	102	196	69	114	22	136	157	455	228	501	262	35	112	148	104	13728	2462	6686	2785	3545	22136	13856	17436	15400	2103	7518	9293	16	34	7	86	44	48	131	9	131	26
