#OTU ID	1-FH-PMA	1-UB-PMA	1-AC-PMA	1-PC-PMA	1-Abd-PMA	2-FH-PMA	2-UB-PMA	2-AC-PMA	2-PC-PMA	2-Abd-PMA	3-FH-PMA	3-UB-PMA	3-AC-PMA	3-PC-PMA	3-Abd-PMA	4-FH-PMA	4-UB-PMA	4-AC-PMA	4-PC-PMA	4-FA-PMA	5-FH-PMA	5-UB-PMA	5-AC-PMA	5-PC-PMA	5-FA-PMA	6-FH-PMA	6-UB-PMA	6-AC-PMA	6-PC-PMA	7-FH-PMA	7-UB-PMA	7-PC-PMA	7-FA-PMA	8-FH-PMA	8-UB-PMA	8-AC-PMA	8-PC-PMA	8-FA-PMA	8-Abd-PMA	9-FH-PMA	9-AC-PMA	9-PC-PMA	10-FH-PMA	10-UB-PMA	10-FA-PMA	10-Abd-PMA	11-FH-PMA	11-UB-PMA	11-AC-PMA	11-PC-PMA	11-FA-PMA	12-FH-PMA	12-UB-PMA	12-AC-PMA	12-PC-PMA	12-FA-PMA	12-Abd-PMA
SMGC_418	16	8	243	2562	82	12	76	36	5270	1190	6	0	2	532	34	54	26	418	1234	894	4	40	100	3048	708	26	2	133	318	10	27	254	614	126	1376	494	32510	4551	3842	2	230	590	8	50	206	188	10	14	18	2590	190	36	10	0	5029	26	30
SMGC_434	20	2	192	276	0	186	252	859	280	162	12	0	2	974	4	652	40	9250	9457	4837	168	456	224	2770	2820	188	18	1615	1062	36	182	76	1166	419	4163	734	986	4906	1674	0	1220	3259	65	144	20707	60	3	14	6	150	166	54	10	40	311	641	0
SMGC_436	124	32	1017	8318	344	555	534	1172	3887	2566	29	12	2	2680	454	432	10	2139	4975	2964	90	370	166	4449	1090	672	22	1035	1014	132	150	1970	3388	272	2222	586	33944	6739	5410	91	1512	5283	1214	856	590	1746	12	63	22	7578	488	958	72	114	25656	2086	290
SMGC_45	190	50	1588	1526	110	194	6804	2788	3225	2818	23	12	5369	1675	2415	948	66	2148	1941	1142	244	1920	2338	4093	18075	1961	148	3020	3036	184	275	560	3383	308	396	124	626	868	720	84	3536	556	254	222	714	106	18	28	18	342	364	137	10	84	688	1105	4
SMGC_464	260	52	2138	2257	108	259	6119	3062	846	2068	6	10	321	838	1304	39995	90	9722	10493	10515	234	1257	1394	3170	42028	1584	116	3089	3935	472	456	2327	10729	554	1367	594	1504	5129	4090	28	2003	1668	132	134	495	204	10	2	32	208	621	48	10	40	914	1152	4
SMGC_469	100	148	1127	4320	353	74	3243	7937	8562	1811	41	128	227	27989	11801	674	160	19282	12595	8173	220	1474	4374	27897	16739	17279	5960	229590	133833	58	1100	2705	2083	246	2717	4411	6855	13315	3688	348	35615	140344	859	1668	12853	5650	187	184	633	1987	5539	176	433	252	12474	1038	56
SMGC_473	131	500	3587	18113	1070	230	3854	9138	24240	20507	41	27	28161	7353	19400	678	633	18967	5655	2841	37	129	1659	6756	3856	904	260	7818	11803	248	643	16553	8038	86	519	153	637	1230	1175	41	3602	662	49	192	414	1428	7	35	43	263	271	147	16	1619	3166	6271	56
SMGC_481	44	108	415	666	103	84	3093	2331	262	59	44	21	280	1611	879	461	152	2474	696	832	283	2284	4416	7487	11221	131	53	1676	1970	51	147	193	649	52	102	142	322	537	202	61	215	3987	138	114	912	776	49	60	18	223	390	47	110	71	971	66	24
SMGC_485	94	131	1286	1250	346	150	3337	1392	1742	1849	11	16	7751	2630	5468	4023	146	5974	1704	2959	29	257	449	2588	1360	320	63	3971	1498	68	325	1140	1896	161	324	262	686	1560	804	48	3693	777	166	154	760	192	56	92	20	428	296	120	100	303	1538	2691	39
SMGC_490	179	330	2788	11790	449	172	2211	4646	18653	13318	26	26	26660	5969	17267	16927	494	22057	7914	9045	306	2398	5970	11230	47200	699	170	5722	16525	134	524	14607	4837	219	698	354	1736	3382	2380	62	1780	714	152	182	1783	1170	10	24	24	118	330	160	53	1492	4002	7138	33
