#OTU ID	1-FH-PMA	1-UB-PMA	1-AC-PMA	1-PC-PMA	1-Abd-PMA	2-FH-PMA	2-UB-PMA	2-AC-PMA	2-PC-PMA	2-Abd-PMA	3-FH-PMA	3-UB-PMA	3-AC-PMA	3-PC-PMA	3-Abd-PMA	4-FH-PMA	4-UB-PMA	4-AC-PMA	4-PC-PMA	4-FA-PMA	5-FH-PMA	5-UB-PMA	5-AC-PMA	5-PC-PMA	5-FA-PMA	6-FH-PMA	6-UB-PMA	6-AC-PMA	6-PC-PMA	7-FH-PMA	7-UB-PMA	7-PC-PMA	7-FA-PMA	8-FH-PMA	8-UB-PMA	8-AC-PMA	8-PC-PMA	8-FA-PMA	8-Abd-PMA	9-FH-PMA	9-AC-PMA	9-PC-PMA	10-FH-PMA	10-UB-PMA	10-FA-PMA	10-Abd-PMA	11-FH-PMA	11-UB-PMA	11-AC-PMA	11-PC-PMA	11-FA-PMA	12-FH-PMA	12-UB-PMA	12-AC-PMA	12-PC-PMA	12-FA-PMA	12-Abd-PMA
SMGC_103	136	121	2338	13961	968	18	294	607	3755	552	19	21	496	1876	551	608	112	1984	2057	4629	160	582	860	17957	6941	2623	174	6028	2704	74	600	1547	1965	342	3106	3754	103519	19099	17236	92	3079	3271	114	84	282	88	804	92	90	10728	2245	1542	111	457	48091	5415	253
SMGC_121	581	102	2918	3147	108	64	1581	1014	478	1064	12	10	1593	2438	1090	3052	34	4171	3240	3119	142	772	760	3258	5216	1495	122	3647	4319	1264	1226	1821	7890	4048	5804	1112	2820	16802	25197	130	1949	3160	2304	550	2258	678	12	52	36	184	398	1035	138	384	3298	3635	34
SMGC_122	228	111	3179	14167	396	110	840	2281	2273	1950	102	113	1828	47873	14605	656	30	4793	4754	3813	707	275	822	14585	4030	833	183	8204	11702	123	291	3307	4533	143	762	749	5810	4993	2589	184	25856	83532	1377	545	2546	754	15	18	36	2248	626	779	119	4972	33994	6702	164
SMGC_123	18	30	144	2398	109	4	96	228	5516	1500	21	12	4	626	272	100	14	320	1759	1494	10	94	337	5957	1710	12	2	152	2	19	44	488	650	280	1496	969	53767	8517	7794	6	212	450	16	36	1110	4	2	32	16	9470	366	130	16	10	6169	568	34
SMGC_134	76	30	698	1012	14	28	580	1494	484	114	32	114	34	51174	17577	515	10	2137	1801	2640	2	28	148	1561	428	424	142	4992	3335	198	682	1526	3945	515	2310	1498	4128	9873	5257	156	1729	905	492	1015	2754	1196	8	10	28	224	260	90	10	2	888	1789	8
SMGC_143	141824	2108764	688169	79605	447970	42050	272274	37130	14528	49110	5668	10531	5334	54991	25720	254974	2678519	571058	39878	158103	28285	133216	157719	64403	118698	42356	97309	55291	17734	15005	1384216	8008	73583	68073	43030	16728	26976	136366	67805	626714	14276	13826	616477	2405253	27981	7705	584953	806087	3099	4302	17279	204238	4106526	232125	109769	93503	81346
SMGC_147	130	36	1126	1098	86	202	1240	1429	2051	1887	2	0	1757	1400	802	5678	2	4507	2332	3103	54	242	851	1559	9754	2396	112	3499	4847	494	603	1465	12812	898	1643	630	1436	5222	4799	34	2770	976	62	158	302	534	20	12	32	164	439	58	12	267	1110	897	18
SMGC_159	150	119	1986	12758	392	86	4899	13837	5960	9028	53	250	2643	48899	17000	884	270	21749	15351	8100	206	2413	6451	46334	23204	29863	10393	409263	245978	30	495	2137	3771	321	2455	6648	7432	17427	5522	771	63706	250955	1493	2345	24044	7325	244	273	864	2999	9294	212	236	502	16977	2738	108
SMGC_163	98	38	1073	1219	144	330	1070	1468	1438	2702	35	12	3441	2493	1258	3430	130	3499	2388	2478	62	236	618	1567	6521	1761	108	3273	3798	379	594	1504	10424	744	1233	451	1998	4460	4076	50	2212	776	328	202	200	730	29	26	22	266	446	56	33	211	1056	1083	8
SMGC_170	9035	7513	18820	19190	20727	5389	11000	6825	2370	6381	5190	6952	1879	71774	63855	17775	16594	39967	6319	9444	6739	23588	15879	55765	30781	7611	2616	32850	19502	10898	24520	1704	11988	7865	7633	2397	4975	14958	8145	4548	6697	16890	8753	8869	4273	3225	5546	6336	923	1516	5510	7825	4141	7263	12092	10084	7389
SMGC_182	144	118	6150	5501	132	14	556	1392	374	1361	8	9	110	5588	1925	158	8	1056	2119	1689	222	4138	17266	30205	232276	158	73	5237	2592	18	121	580	993	11	201	262	1848	1093	206	24	2174	4742	136	366	484	238	10	16	36	252	535	168	44	632	4409	5968	84
SMGC_184	6354	8195	8548	8558	16251	4367	36060	14397	3252	9662	423	692	750	12590	6420	45953	8958	38473	8847	20602	2214	31680	18988	29899	91869	14359	4278	37219	16735	2753	36458	5150	18986	15097	6340	3380	6525	23912	11312	5166	11537	12483	15348	17017	7502	4267	9061	10112	1460	948	5070	6815	5561	1300	9134	7637	4465
SMGC_19	67	70	680	787	192	28	233	881	1355	2284	100	46	3	12498	4493	4269	721	14397	8137	16079	29	231	698	2169	2857	93	34	1412	580	87	177	873	1407	178	1634	1064	1480	8609	2386	28	3319	1399	103	267	739	311	38	59	41	148	401	194	217	48	2024	775	13
SMGC_20	16297	558	6104	5792	94	4734	31889	8566	1126	5334	3458	181	296	55908	11654	11249	281	12975	250924	9838	1868	7529	1307	18653	17234	60755	892	27501	10869	12194	6975	2131	21359	68527	28627	2072	3500	15997	11411	7298	11367	14542	22081	1907	4911	1574	244	1486	992	5943	3673	23109	1339	1030	13231	3328	134
SMGC_200	102	46	1259	1529	130	295	1458	1427	1584	4731	14	14	3089	1324	1087	4867	0	3348	2255	2781	58	250	768	1910	9042	3175	135	4099	5695	445	682	1874	13308	987	2094	699	1420	5712	5615	88	2373	1108	54	81	627	126	8	8	18	192	550	39	12	134	826	986	11
SMGC_203	181	308	335	3898	623	148	196	148	2858	346	4	2	0	568	152	893	372	764	1239	979	40	699	88	908	496	6	24	134	0	76	881	112	470	353	744	528	23905	4305	3622	254	190	272	150	220	769	0	218	439	18	3763	227	379	224	168	15211	1232	330
SMGC_204	56	20	561	12985	102	24	288	182	19597	2301	16	24	598	1821	442	80	76	460	1530	1560	0	92	178	5528	1004	84	4	324	384	32	80	436	871	246	1899	928	46463	5817	7484	6	870	864	20	74	72	0	24	40	56	19477	514	420	40	32	15147	624	48
SMGC_209	29	52	1056	2425	99	46	2437	13323	51749	37077	8	14	2526	8730	6797	583	472	18182	10145	9097	13	226	618	5976	2755	119	46	2359	2435	129	291	6410	2202	194	2687	1737	5576	7844	3592	51	2374	8131	328	558	1032	1038	16	48	93	564	4186	50	18	185	3328	997	14
SMGC_212	130	90	3038	3083	408	20	542	2133	849	3392	34	30	666	9059	1058	241	717	1722	1217	1546	181	278	984	3064	6227	250	72	4170	3147	108	158	1894	2726	104	393	351	2581	2508	1338	161	3257	7203	540	1734	8671	1574	214	600	993	1790	49917	794	123	287	4196	2988	27
SMGC_213	34313	18650	39659	17509	40617	17728	33572	12381	2254	7638	7345	12716	662	18732	25565	52356	29082	16811	5846	16406	16635	82894	30675	25971	65192	25875	8415	36508	11826	37288	87845	8715	49138	30778	16787	3796	6104	31111	21035	15557	9881	11230	34835	41107	11899	3790	16946	18416	2473	1489	21277	26703	12391	12513	26561	23095	13993
SMGC_218	10320	13289	32457	41197	5619	2126	27258	81222	24111	22122	980	366	4852	119671	19283	90461	17788	217663	90318	369286	19994	99466	53541	226264	557017	523173	32596	923598	408529	12433	123917	40029	239023	31870	262763	46970	78216	278044	152441	16537	407743	295321	11115	8875	81870	29578	120032	5951	5312	11740	144091	17199	10671	2930	51940	21625	576
SMGC_219	146	39	558	1272	73	940	829	10040	538	690	82	42	1780	2096	709	5099	89	4447	3490	10830	110	390	179	882	1016	831	139	1278	1790	14663	3426	2708	53307	623	1815	1050	1382	5444	5163	408	1337	1436	3301	972	10069	4948	57	46	114	404	308	390	30	257	5738	444	22
SMGC_221	410	579	9395	41773	1750	496	39370	73296	31966	62952	251	2096	1810	405277	110640	5661	853	154576	108456	52495	1490	18781	43760	368050	175919	258580	86420	3377991	1990795	182	3553	18227	18687	1949	17494	51119	54883	138156	29905	2183	554285	2195283	8610	11160	141072	46367	521	1735	6392	23004	76119	1039	576	1670	83447	12988	427
SMGC_226	36139	71673	70894	29468	90196	22941	75458	18481	4965	15673	15856	19402	2827	40010	35964	92903	88876	39297	13153	41170	16623	133473	61580	65940	82334	35187	14611	87639	21164	32474	191163	7178	74300	47593	25293	7789	21944	68974	42720	30916	17586	26130	42533	70208	11298	7054	36590	53243	3051	5787	12231	34164	89477	22586	37740	35177	25120
SMGC_23	74	127	1414	9098	503	33	374	640	3481	6226	9	12	613	1356	357	135	80	1284	1854	1567	9	266	556	7573	1990	313	136	6936	12889	39	229	582	1294	127	1062	1154	81570	11221	6445	63	3070	8801	82	82	686	678	20	77	80	1763	892	186	67	217	29229	2002	99
SMGC_239	121	184	2794	10024	529	59	3358	11761	20820	11797	67	59	2178	18721	36976	5122	7046	313867	83749	85263	44	388	1997	9330	4342	327	242	10871	7952	105	636	9157	5498	964	43116	19841	33878	80347	24443	190	4827	25904	543	980	4013	3806	35	82	351	816	2036	140	63	481	10565	2128	45
SMGC_24	14	38	104	1420	59	6	46	221	8	286	0	4	2	830	281	76	2	122	190	242	66	56	110	1165	662	2326	422	13694	123160	8	50	32	177	14	64	146	240	190	234	90	7063	124655	24	82	1163	242	11	4	2	74	28	63	40	57	4215	234	21
SMGC_241	17689	1411	54386	22154	226	426702	160983	85806	15875	68243	7046	2721	1552	70351	32792	64716	5824	90930	24021	32548	34274	125563	5148	46565	29993	181231	2142	26251	15217	9121	6236	7081	71844	52101	21380	6046	13776	40772	33574	38761	34690	47042	547458	7998	9062	4574	7035	1110	2238	45325	11020	26948	2336	74166	54094	21777	572
SMGC_244	201	98	2001	5293	68	2377	8558	2112	574	1653	14738	82	469	11064	2276	1349	140	31721	12110	4851	263	1495	576	18313	4848	2079	147	3044	1617	1304	1198	7925	23768	1104	2462	1111	9011	5765	6470	462	17429	18579	4171	971	2596	1655	43	66	158	1216	1014	469	63	810	26074	1448	77
SMGC_256	111	34	222	742	893	193	612	1428	3656	2005	6	10	452	2468	1107	921	62	1745	1037	1036	109	1608	4552	22261	23988	664	472	13666	9993	50	96	268	585	161	236	327	1100	982	516	168	2184	17425	40	34	372	374	96	476	26	96	150	75	36	428	1071	260	229
SMGC_258	44	61	889	5475	119	50	733	4348	13496	7742	14	19	649	5108	2990	91	70	5508	2473	2219	121	3794	7266	62760	24216	173	79	4323	1638	52	177	1061	1487	42	818	394	1688	1779	1350	65	992	4770	235	1170	3505	544	16	39	59	293	755	96	32	117	2798	879	7
SMGC_262	28	30	1149	1873	29	14	150	585	635	770	54	124	6	51783	22472	722	100	2754	9560	2206	10	403	2283	9675	16627	120	69	5105	3305	42	150	1936	2866	20	428	559	1327	1862	716	28	8457	20604	132	196	1597	84	4	8	8	204	60	142	36	43	5568	1059	28
SMGC_265	54	30	994	4860	213	16	684	2837	750	2665	78	2238	2094	87422	82974	114	16	2255	2187	1792	28	1183	1655	27570	10213	212	70	1587	3309	24	99	326	1092	111	1608	826	2467	4402	2466	64	310	2083	957	1356	2061	1803	33	94	239	951	3530	108	22	82	2135	874	6
SMGC_271	34	209	1970	2975	88	40	388	1934	1367	1008	68	190	101	83782	35097	1722	188	9087	26298	5756	84	1021	6834	24713	41905	346	180	6179	5099	119	632	4283	5991	152	976	1008	4182	5564	1776	60	17866	47344	350	434	1197	532	6	26	22	407	221	138	142	87	4077	1025	107
SMGC_275	26	20	460	2110	46	18	356	392	477	998	73	106	362	48859	21979	36	4	257	567	554	4	92	230	2700	875	372	152	5061	8837	10	46	64	587	16	160	46	1662	604	367	62	1770	10112	74	82	94	72	23	10	6	192	68	64	6	308	2670	418	20
SMGC_28	142317	138131	248987	100424	363618	90399	253325	67757	11707	37326	56050	66988	18480	114682	144114	365119	232444	117673	33579	122125	75669	488205	323763	354309	313681	124347	48303	274084	60695	127186	513329	23488	234443	183008	91048	26717	39338	225750	133109	83601	64125	33848	179593	203823	33908	20571	176811	148687	18637	6708	58391	122787	70960	89846	125545	132199	104958
SMGC_286	172	9	503	168	4	997	850	465	154	425	62	34	6	12626	1299	284	14	1088	1359	275	164	854	58	584	258	1162	24	348	252	214	56	97	1128	356	238	72	212	226	276	312	3082	3768	34750	64431	2446	424	54	24	38	174	86	257	28	106	254	250	10
SMGC_297	28	10	2215	3270	422	16	908	3914	6169	2943	4	22	129	5750	2372	236	240	8766	5871	4488	373	8601	18583	254540	73153	286	168	13312	9475	34	112	1049	1416	127	3290	1398	3928	5144	4954	28	759	2489	99	582	2426	530	6	10	30	170	372	29	20	113	2126	528	16
SMGC_299	201	378	1582	6581	388	46	1101	12367	3968	2440	74	99	943	8859	4050	295	307	12021	2942	3961	710	10920	18491	270294	87756	326	174	5752	3437	84	636	1727	2781	116	746	444	2070	1675	1388	186	3080	4185	1147	1564	2926	1350	376	237	341	971	2991	200	481	588	7098	1951	71
SMGC_301	13	20	266	267	90	8	278	550	608	2752	15	6	664	1599	17	82	2	804	782	560	2158	7100	7977	22953	49111	5073	3655	115961	39587	20	95	396	749	11	274	177	194	789	534	68	644	9669	16	38	476	400	0	2	8	42	62	44	8	10	1854	220	6
SMGC_302	30	71	627	1044	88	26	325	1034	1078	10	22	19	707	1728	1711	90	49	2647	1072	1380	267	2196	2850	29327	13737	758	383	12226	8082	47	218	633	782	47	277	254	665	957	971	85	1003	12891	135	240	1197	388	47	43	42	149	217	73	205	226	1855	830	26
SMGC_303	279	302	975	1573	733	232	2810	2375	1682	781	47	87	336	1950	951	1375	282	13011	14884	8146	245	1666	1292	11780	6250	489	190	3265	2917	214	1495	1963	3959	608	2134	3991	6578	15626	4113	230	1761	18643	550	686	2751	334	222	368	169	387	1349	284	254	283	2807	700	181
SMGC_304	24	292	161	1896	81	16	108	142	365	916	250	551	36	184855	62816	74	268	1067	433	1006	26	65	222	1128	785	56	27	870	1583	16	119	1143	754	10	50	12	1041	326	154	42	1650	6023	42	148	14	96	28	32	20	85	158	45	324	19	3090	184	22
SMGC_305	403	224	6562	25440	886	222	2276	5244	11815	10447	340	356	5373	155183	49927	1372	92	12192	13487	9456	881	537	1867	22416	9059	1410	329	14266	19288	240	630	5737	9209	278	1907	1763	17854	11159	6341	481	81475	266862	3432	1744	2470	1971	32	69	113	7041	1228	1731	223	31145	99747	26414	470
SMGC_314	233	155	1971	10964	243	245	3746	6343	5901	6238	38	46	1294	14130	3457	4123	865	73137	55766	27562	12373	23977	36786	195011	151402	3853	1404	52940	38498	104	793	2293	5509	1164	7671	13456	19074	49093	15417	209	5178	17153	820	1524	25212	2526	296	175	236	671	1403	312	136	606	9349	3243	59
SMGC_316	89	133	1339	6853	236	46	1643	2853	5034	5070	16	12	1387	7622	2285	268	180	7879	4437	3213	6769	32973	45534	441859	200503	523	225	12298	4433	32	320	874	2149	83	895	857	2408	2714	1487	47	3006	17748	2896	3864	6669	1156	61	106	48	357	413	110	158	62	6191	2434	16
SMGC_324	46	38	2357	2370	105	560	19246	139639	759703	527460	18	20	1086	9891	8462	1026	874	63829	37103	29889	26	228	706	5496	2123	64	26	1984	2470	82	142	92593	1889	210	3829	3152	8004	14218	5371	38	2312	16441	296	502	832	1126	2	28	76	301	2449	47	29	170	3218	1174	28
SMGC_326	449	591	1053	6714	277	123	1521	1674	3645	1978	44	50	1469	4881	4899	719	530	6254	4498	4131	670	3860	5053	40922	22222	1734	739	21380	10936	113	1478	514	1859	709	1180	1024	2595	4891	1991	183	3964	14486	2348	2430	4315	1602	721	370	487	1382	5569	382	413	208	6985	1020	63
SMGC_329	62	147	646	1378	94	74	2390	2117	1145	1728	22	13	8	3164	1308	739	169	6905	12214	7759	254	1009	1492	6015	7006	282	126	5191	2504	56	300	1098	2246	196	1744	2636	5543	11513	3392	35	1911	8048	110	258	2874	1056	28	51	80	248	395	73	193	53	1955	1041	15
SMGC_33	40	66	418	2168	115	46	300	546	710	569	51	78	12	43677	13040	227	68	1347	1186	588	38	210	275	1442	1136	175	68	2316	3078	90	202	807	1086	61	146	114	216	402	123	50	3628	15640	156	213	384	244	25	52	5	337	74	76	62	108	3543	562	32
SMGC_332	21637	1721	15456	21950	1178	997	12763	23321	10040	8949	443	303	2065	87478	25164	135080	3429	52417	32744	95026	7493	30067	11246	48823	102308	73865	4294	131162	63356	44999	41463	11721	111660	40702	61177	11669	23841	86861	44698	7376	102528	177993	257986	7760	25902	8940	13325	1490	914	4470	21835	48245	1753	2838	34799	18943	217
SMGC_334	1191	641	3177	1937	1534	1833	1828	995	742	982	470	560	1708	1613	1957	5244	1840	2967	1715	2654	990	3607	1496	1662	7803	1477	74	2378	2611	1686	2934	1118	8206	1483	1597	470	943	3906	3339	422	1157	605	2254	826	504	194	513	149	57	172	496	917	369	1146	1723	1299	717
SMGC_336	164	59	1533	1344	68	358	1395	1412	2174	2141	14	12	4377	1660	1929	5658	62	4220	2646	3730	72	272	835	2342	10001	4051	159	5250	6381	491	826	2404	15327	1192	2712	719	1518	7071	7393	52	3510	1354	62	162	716	240	8	6	26	287	621	76	10	198	883	907	25
SMGC_337	610	170	5662	47257	1430	144	936	3086	3335	2872	117	68	28	33496	7602	1383	178	4952	5968	6807	3786	1032	2375	15390	13824	2491	438	16492	23956	443	806	2636	9325	433	1619	1871	18481	12729	7063	462	16099	56304	5260	716	1503	1393	59	48	62	3222	1134	3036	119	3321	160746	13284	396
SMGC_338	97	132	986	5794	378	50	779	3750	11338	16713	36	22	38	3012	626	231	85	2588	5788	4907	20	215	610	6835	2267	94	17	3130	3989	87	398	1996	3414	294	2812	4570	277020	38323	20982	36	3098	6813	82	78	508	1110	24	98	218	5554	2950	130	55	187	19197	1335	67
